"Year","inflation","salaries_growth_inflation_corrected","salary","living_costs_change_elternzeit","living_costs_family","living_standard_costs","living_costs","expected_money_for_investment_savings","net_annual_salary","lump_sums","expected_yearly_return_on_passive_investment_inflation_corrected","total_taxes_on_income","capital_gains_tax_rate","passive_investment_return_from_previous_year","passive_investment_vorabpauschale","vorabpauschale_tax_from_previous_year","accumulated_vorabpauschale_tax","housing_cost_growth_inflation_corrected","housing_cost","rental_cost_growth_inflation_corrected","rental_cost","rental_housing_cost","property1_value_growth_inflation_corrected","property1_market_evaluation","property1_purchase_real_cost","property1_available_for_down_payment","property1_used_from_savings","property1_mortgage_principal","property1_principal_repayment_rate","property1_mortgage_interest_rate","property1_mortgage_interest_share","property1_mortgage_payment","property1_mortgage_principal_share","property1_mortgage_length_years","property1_mortgage_principal_left","property1_mortgage_interest_left","property1_max_mortgage_amortization","property1_additional_amortization","property1_loan_family_friends_interest_rate","property1_loan_family_friends_principal_share","property1_loan_family_friends_interest_share","property1_loan_family_friends_payment","property1_loan_family_friends_principal_left","property1_loan_family_friends_interest_left","property1_property_taxes_rate","property1_property_taxes","property1_maintenance_cost_rate","property1_maintenance_cost","property1_hausgeld_maintenance_costs","property1_hausgeld_utilities","property1_hausgeld_reserve_fund","property1_hausgeld_house_management_fee","property1_hausgeld_building_insurance","property1_hausgeld_fees_total","property1_sale_rate_total","property1_sale_costs","property1_sale_capital_gain_tax","property1_value_liquid","properties_principal_share","properties_interest_share","properties_property_taxes","properties_maintenance_cost","properties_hausgeld_fees_total","properties_property_management_fee","properties_vacancy_months_cost","properties_warm_lease_income","properties_income_taxes_adjustment","properties_max_mortgage_amortization","total_expenses","total_income","cash_flow","cash_flow_to_emergency_reserve","cash_flow_to_mortgage_amortization","cash_flow_to_investment","savings_emergency_reserve","passive_investment_money_needed_from_liquid","passive_investment_money_withdrawn_from_capital_gains","passive_investment_money_withdrawn_from_contributions","passive_investment_yearly_contribution","passive_investment_contributions_accumulated","passive_investment_total_invested","passive_investment_total_invested_liquid","total_asset","scenario"
2035,2.5,0.24,56076.13,0,-3880,-26400,-30280,0,56076.13,0,6.32,26.38,26.38,0,1280.09,0,0,-0.49,-2513.45,0.49,0,0,0.49,262523.67,0,0,0,0,2,3.7,-7636.66,-15243.23,-7606.57,0,-199051.97,-74992.89,0,0,0,0,0,-511.44,0,0,0.3,-787.57,1,-2625.24,-660,-1020,-300,-300,-360,-2640,11.17,-29323.89,26.38,-44148.82,-7606.57,-7636.66,-787.57,-2625.24,-2640,0,0,0,0,0,-51576.04,56076.13,4500.09,4500.09,0,0,11172.45,0,0,0,0,0,0,0,-348.74,"example"
2036,2.5,0.22,56210.71,0,-5755,-26400,-32155,0,56210.71,0,6.22,26.38,26.38,0,1312.09,0,0,-0.49,-2501.13,0.49,0,0,0.49,263810.04,0,0,0,0,2,3.7,-7364.92,-15243.23,-7878.31,0,-191445.4,-67627.97,0,0,0,0,0,0,0,0,0.3,-791.43,1,-2638.1,-660,-1020,-300,-300,-360,-2640,11.17,-29467.58,0,-24730.91,-7878.31,-7364.92,-791.43,-2638.1,-2640,0,0,0,0,0,-53467.76,56210.71,2742.95,2327.55,0,415.4,13500,0,0,0,415.4,415.4,415.4,415.4,18652.07,"example"
2037,2.5,0.2,56334.37,0,-5755,-26400,-32155,0,56334.37,0,6.12,26.38,26.38,25.84,1344.89,0,0,-0.49,-2488.87,0.49,0,0,0.49,265102.71,0,0,0,0,2,3.7,-7083.48,-15243.23,-8159.75,0,-183567.09,-60544.49,0,0,0,0,0,0,0,0,0.3,-795.31,1,-2651.03,-660,-1020,-300,-300,-360,-2640,11.17,-29611.97,0,-8620.84,-8159.75,-7083.48,-795.31,-2651.03,-2640,0,0,0,0,0,-53484.57,56360.21,2849.8,0,0,2849.8,13500,0,0,0,2849.8,3265.2,3291.04,3284.22,37782.17,"example"
2038,2.5,0.17,56447.04,0,-7630,-26400,-34030,0,56447.04,0,6.02,26.38,26.38,201.41,1378.51,0,0,-0.49,-2476.67,0.49,0,0,0.49,266401.71,0,0,0,0,2,3.7,-6791.98,-15243.23,-8451.25,0,-175407.34,-53752.51,0,0,0,0,0,0,0,0,0.3,-799.21,1,-2664.02,-660,-1020,-300,-300,-360,-2640,11.17,-29757.07,0,7484.79,-8451.25,-6791.98,-799.21,-2664.02,-2640,0,0,0,0,0,-55376.46,56648.45,1070.58,0,0,1070.58,13500,0,0,0,1070.58,4335.78,4563.03,4503.08,55304.89,"example"
2039,2.5,0.15,56543,0,-7630,-26400,-34030,0,56543,0,5.92,26.38,26.38,274.69,1412.97,0,0,-0.49,-2464.53,0.49,0,0,0.49,267707.08,0,0,0,0,2,3.7,-6490.07,-15243.23,-8753.16,0,-166956.09,-47262.44,0,0,0,0,0,0,0,0,0.3,-803.12,1,-2677.07,-660,-1020,-300,-300,-360,-2640,11.17,-29902.88,0,23585.67,-8753.16,-6490.07,-803.12,-2677.07,-2640,0,0,0,0,0,-55393.42,56817.69,1149.58,0,0,1149.58,13500,0,0,0,1149.58,5485.36,5987.3,5854.89,72975.85,"example"
2040,2.5,0.12,56627.81,0,-7630,-26400,-34030,0,56627.81,0,5.82,26.38,26.38,354.45,1448.29,0,0,-0.49,-2452.45,0.49,0,0,0.49,269018.84,0,0,0,0,2,3.7,-6177.38,-15243.23,-9065.85,0,-158202.93,-41085.06,0,0,0,0,0,0,0,0,0.3,-807.06,1,-2690.19,-660,-1020,-300,-300,-360,-2640,11.17,-30049.4,0,39681.45,-9065.85,-6177.38,-807.06,-2690.19,-2640,0,0,0,0,0,-55410.48,56982.26,1217.33,0,0,1217.33,13500,0,0,0,1217.33,6702.69,7559.08,7333.16,90789.93,"example"
2041,2.5,0.1,56695.76,0,-7630,-26400,-34030,0,56695.76,0,5.72,26.38,26.38,439.94,1484.5,0,0,-0.49,-2440.43,0.49,0,0,0.49,270337.03,0,0,0,0,2,3.7,-5853.51,-15243.23,-9389.72,0,-149137.08,-35231.55,0,0,0,0,0,0,0,0,0.3,-811.01,1,-2703.37,-660,-1020,-300,-300,-360,-2640,11.17,-30196.65,0,55771.75,-9389.72,-5853.51,-811.01,-2703.37,-2640,0,0,0,0,0,-55427.61,57135.7,1268.15,0,0,1268.15,13500,0,0,0,1268.15,7970.84,9267.17,8925.2,108735.57,"example"
2042,2.5,0.07,56752.46,0,-7630,-26400,-34030,0,56752.46,0,5.62,26.38,26.38,530.08,1521.61,0,0,-0.49,-2428.47,0.49,0,0,0.49,271661.68,0,0,0,0,2,3.7,-5518.07,-15243.23,-9725.16,0,-139747.36,-29713.48,0,0,0,0,0,0,0,0,0.3,-814.99,1,-2716.62,-660,-1020,-300,-300,-360,-2640,11.17,-30344.61,0,71856.23,-9725.16,-5518.07,-814.99,-2716.62,-2640,0,0,0,0,0,-55444.84,57282.54,1307.62,0,0,1307.62,13500,0,0,0,1307.62,9278.46,11104.87,10623.06,126805.71,"example"
2043,2.5,0.05,56792.19,0,-7630,-26400,-34030,0,56792.19,0,5.52,26.38,26.38,624.09,1559.65,0,0,-0.49,-2416.57,0.49,0,0,0.49,272992.82,0,0,0,0,2,3.7,-5170.65,-15243.23,-10072.58,0,-130022.2,-24542.83,0,0,0,0,0,0,0,0,0.3,-818.98,1,-2729.93,-660,-1020,-300,-300,-360,-2640,11.17,-30493.3,0,87934.49,-10072.58,-5170.65,-818.98,-2729.93,-2640,0,0,0,0,0,-55462.14,57416.28,1330.05,0,0,1330.05,13500,0,0,0,1330.05,10608.51,13059.01,12412.57,144986.8,"example"
2044,2.5,0.02,56820.59,0,-9755,-26400,-36155,0,56820.59,0,5.42,26.38,26.38,720.86,1598.64,0,0,-0.49,-2404.73,0.49,0,0,0.49,274330.48,0,0,0,0,2,3.7,-4810.82,-15243.23,-10432.41,0,-119949.62,-19732.01,0,0,0,0,0,0,0,0,0.3,-822.99,1,-2743.3,-660,-1020,-300,-300,-360,-2640,11.17,-30642.71,0,104006.14,-10432.41,-4810.82,-822.99,-2743.3,-2640,0,0,0,0,0,-57604.52,57541.45,-783.93,-783.93,0,0,12716.07,0,0,0,0,10608.51,13779.87,12943.27,161144.79,"example"
2045,2.5,0,56831.95,0,-9755,-26400,-36155,0,56831.95,50000,5.32,26.38,26.38,746.87,1638.61,0,0,-0.49,-2392.95,0.49,0,0,0.49,275674.7,0,0,0,0,2,3.7,-4438.14,-15243.23,-10805.09,0,-109517.21,-15293.87,0,0,0,0,0,0,0,0,0.3,-827.02,1,-2756.75,-660,-1020,-300,-300,-360,-2640,11.17,-30792.86,0,120070.76,-10805.09,-4438.14,-827.02,-2756.75,-2640,0,0,0,0,0,-57622,107578.82,49209.95,783.93,0,48426.02,13500,0,0,0,48426.02,59034.53,62952.76,61919.13,227316.38,"example"
2046,2.5,-0.02,56831.95,0,-11880,-26400,-38280,0,56831.95,0,5.22,26.38,26.38,3349.09,1679.58,0,0,-0.49,-2381.22,0.49,0,0,0.49,277025.51,0,0,0,0,2,3.7,-4052.14,-15243.23,-11191.09,0,-98712.12,-11241.73,0,0,0,0,0,0,0,0,0.3,-831.08,1,-2770.26,-660,-1020,-300,-300,-360,-2640,11.17,-30943.75,0,136127.91,-11191.09,-4052.14,-831.08,-2770.26,-2640,0,0,0,0,0,-59764.57,60181.04,-2932.62,-2932.62,0,0,10567.38,0,0,0,0,59034.53,66301.85,64384.73,243940.89,"example"
2047,2.5,-0.05,56820.58,0,-11880,-26400,-38280,0,56820.58,0,5.12,26.38,26.38,3460.96,1721.57,0,0,-0.49,-2369.55,0.49,0,0,0.49,278382.93,0,0,0,0,2,3.7,-3652.35,-15243.23,-11590.88,0,-87521.03,-7589.38,0,0,0,0,0,0,0,0,0.3,-835.15,1,-2783.83,-660,-1020,-300,-300,-360,-2640,11.17,-31095.37,0,152177.15,-11590.88,-3652.35,-835.15,-2783.83,-2640,0,0,0,0,0,-59782.21,60281.54,-2961.63,-2961.63,0,0,7605.75,0,0,0,0,59034.53,69762.81,66932.69,260641.08,"example"
2048,2.5,-0.07,56792.17,0,-11880,-26400,-38280,0,56792.17,0,5.02,26.38,26.38,3571.86,1764.61,0,0,-0.49,-2357.94,0.49,0,0,0.49,279747.01,0,0,0,0,2,3.7,-3238.28,-15243.23,-12004.95,0,-75930.15,-4351.1,0,0,0,0,0,0,0,0,0.3,-839.24,1,-2797.47,-660,-1020,-300,-300,-360,-2640,11.17,-31247.74,0,168218.02,-12004.95,-3238.28,-839.24,-2797.47,-2640,0,0,0,0,0,-59799.94,60364.03,-3007.77,-3007.77,0,0,4597.98,0,0,0,0,59034.53,73334.67,69562.29,277398.41,"example"
2049,2.5,-0.1,56752.42,0,-11880,-26400,-38280,0,56752.42,0,4.92,26.38,26.38,3681.4,1808.73,0,0,-0.49,-2346.39,0.49,0,0,0.49,281117.77,0,0,0,0,2,3.7,-2809.42,-15243.23,-12433.81,0,-63925.2,-1541.68,0,0,0,0,0,0,0,0,0.3,-843.35,1,-2811.18,-660,-1020,-300,-300,-360,-2640,11.17,-31400.85,0,184250.04,-12433.81,-2809.42,-843.35,-2811.18,-2640,0,0,0,0,0,-59817.76,60433.82,-3065.34,-3065.34,0,0,1532.64,0,0,0,0,59034.53,77016.07,72272.54,294199.6,"example"
2050,2.5,-0.12,56695.67,0,-11880,-26400,-38280,0,56695.67,0,4.82,26.38,26.38,3789.19,1853.95,0,135.38,-0.49,-2334.89,0.49,0,0,0.49,282495.25,0,0,0,0,2,3.7,-2365.23,-15243.23,-12878,0,-51491.39,0,0,0,0,0,0,0,0,0,0.3,-847.49,1,-2824.95,-660,-1020,-300,-300,-360,-2640,11.17,-31554.72,0,199449.14,-12878,-2365.23,-847.49,-2824.95,-2640,0,0,0,0,0,-59835.67,60484.86,-3140,-3140,0,0,0,-3140,-3004.62,0,0,59034.53,77800.64,72850.14,308804.5,"example"
2051,2.5,-0.15,56627.64,0,-5940,-26400,-32340,0,56627.64,0,4.72,26.38,26.38,3749.99,1900.3,0,135.38,-0.49,-2323.45,0.49,0,0,0.49,283879.48,0,0,0,0,2,3.7,-1905.18,-15243.23,-13338.05,0,-38613.39,0,0,0,0,0,0,0,0,0,0.3,-851.64,1,-2838.79,-660,-1020,-300,-300,-360,-2640,11.17,-31709.34,0,213556.75,-13338.05,-1905.18,-851.64,-2838.79,-2640,0,0,0,0,0,-53913.66,60377.63,2713.98,2713.98,0,0,2713.98,0,0,0,0,59034.53,81550.63,75610.88,329530.7,"example"
2052,2.5,-0.17,56542.7,0,-5940,-26400,-32340,0,56542.7,0,4.62,26.38,26.38,3849.19,1947.81,0,135.38,-0.49,-2312.07,0.49,0,0,0.49,285270.49,0,0,0,0,2,3.7,-1428.7,-15243.23,-13814.53,0,-25275.34,0,0,0,0,0,0,0,0,0,0.3,-855.81,1,-2852.7,-660,-1020,-300,-300,-360,-2640,11.17,-31864.71,0,228130.44,-13814.53,-1428.7,-855.81,-2852.7,-2640,0,0,0,0,0,-53931.74,60391.89,2610.96,2610.96,0,0,5324.94,0,0,0,0,59034.53,85399.82,78444.66,350719.91,"example"
2053,2.5,-0.2,56446.58,0,0,-26400,-26400,0,56446.58,0,4.52,26.38,26.38,3945.47,1996.51,0,135.38,-0.49,-2300.74,0.49,0,0,0.49,286668.32,0,0,0,0,2,3.7,-935.19,-15243.23,-14308.04,0,-11460.81,0,0,0,0,0,0,0,0,0,0.3,-860,1,-2866.68,-660,-1020,-300,-300,-360,-2640,11.17,-32020.85,0,243186.66,-14308.04,-935.19,-860,-2866.68,-2640,0,0,0,0,0,-48009.91,60392.05,8436.67,8175.06,0,261.61,13500,0,0,0,261.61,59296.14,89606.9,81610.92,378314.41,"example"
2054,2.5,-0.22,56333.69,0,0,-26400,-26400,0,56333.69,0,4.42,26.38,26.38,4050.23,2046.42,0,135.38,-0.49,-2289.47,0.49,0,0,0.49,288072.99,0,0,0,0,2,3.7,-424.05,-11884.86,-11460.81,0,0,0,0,0,0,0,0,0,0,0,0.3,-864.22,1,-2880.73,-660,-1020,-300,-300,-360,-2640,11.17,-32177.75,0,255895.24,-11460.81,-424.05,-864.22,-2880.73,-2640,0,0,0,0,0,-44669.81,60383.92,11663.88,0,0,11663.88,13500,0,0,0,11663.88,70960.02,105321.01,96256.58,406894,"example"
2055,2.5,-0.24,56209.76,0,0,-26400,-26400,0,56209.76,-25000,4.32,26.38,26.38,4655.19,2097.58,0,135.38,-0.49,-2278.25,0.49,0,0,0.49,289484.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-868.45,1,-2894.85,-660,-1020,-300,-300,-360,-2640,11.17,-32335.42,0,257149.13,0,0,-868.45,-2894.85,-2640,0,0,0,0,0,-32803.3,35864.95,-1593.54,-1593.54,0,0,11906.46,0,0,0,0,70960.02,109976.2,99683.73,411367.21,"example"
2056,2.5,-0.27,56074.86,0,0,-26400,-26400,0,56074.86,0,4.22,26.38,26.38,4750.97,2150.02,0,135.38,-0.49,-2267.09,0.49,0,0,0.49,290903.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-872.71,1,-2909.03,-660,-1020,-300,-300,-360,-2640,11.17,-32493.87,0,258409.15,0,0,-872.71,-2909.03,-2640,0,0,0,0,0,-32821.74,60825.83,23253.12,1593.54,0,21659.58,13500,0,0,0,21659.58,92619.6,136386.75,124840.98,440789.77,"example"
2057,2.5,-0.29,55923.46,0,0,-26400,-26400,0,55923.46,0,4.12,26.38,26.38,5755.52,2203.77,0,135.38,-0.49,-2255.98,0.49,0,0,0.49,292328.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-876.99,1,-2923.28,-660,-1020,-300,-300,-360,-2640,11.17,-32653.09,0,259675.35,0,0,-876.99,-2923.28,-2640,0,0,0,0,0,-32840.27,61678.98,23083.19,0,0,23083.19,13500,0,0,0,23083.19,115702.79,165225.46,152161.38,471053.9,"example"
2058,2.5,-0.32,55761.28,0,0,-26400,-26400,0,55761.28,0,4.02,26.38,26.38,6807.29,2258.86,0,135.38,-0.49,-2244.93,0.49,0,0,0.49,293760.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-881.28,1,-2937.61,-660,-1020,-300,-300,-360,-2640,11.17,-32813.09,0,260947.76,0,0,-881.28,-2937.61,-2640,0,0,0,0,0,-32858.89,62568.57,22902.39,0,0,22902.39,13500,0,0,0,22902.39,138605.18,194935.14,180075.3,502195.99,"example"
2059,2.5,-0.34,55582.84,0,0,-26400,-26400,0,55582.84,0,3.92,26.38,26.38,7836.39,2315.33,-51.92,83.46,-0.49,-2233.93,0.49,0,0,0.49,295200.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-885.6,1,-2952,-660,-1020,-300,-300,-360,-2640,11.17,-32973.87,0,262226.41,0,0,-885.6,-2952,-2640,0,0,0,0,0,-32929.52,63419.23,22653.32,0,0,22653.32,13500,0,0,0,22653.32,161258.5,225424.85,208497.77,534125.13,"example"
2060,2.5,-0.37,55393.86,0,0,-26400,-26400,0,55393.86,0,3.82,26.38,26.38,8836.65,2373.21,-140.3,-56.84,-0.49,-2222.98,0.49,0,0,0.49,296646.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-889.94,1,-2966.47,-660,-1020,-300,-300,-360,-2640,11.17,-33135.44,0,263511.32,0,0,-889.94,-2966.47,-2640,0,0,0,0,0,-33036.71,64230.51,22357.15,0,0,22357.15,13500,0,0,0,22357.15,183615.65,256618.65,237360.46,566765.41,"example"
2061,2.5,-0.39,55188.9,0,0,-26400,-26400,0,55188.9,0,3.72,26.38,26.38,9802.83,2432.54,-230.69,-287.53,-0.49,-2212.09,0.49,0,0,0.49,298100.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-894.3,1,-2981,-660,-1020,-300,-300,-360,-2640,11.17,-33297.81,0,264802.52,0,0,-894.3,-2981,-2640,0,0,0,0,0,-33145.99,64991.73,22042.91,0,0,22042.91,13500,0,0,0,22042.91,205658.56,288464.39,266620.21,600064.72,"example"
2062,2.5,-0.41,54973.66,0,0,-26400,-26400,0,54973.66,0,3.62,26.38,26.38,10730.88,2493.35,-322.92,-610.45,-0.49,-2201.25,0.49,0,0,0.49,299561.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-898.68,1,-2995.61,-660,-1020,-300,-300,-360,-2640,11.17,-33460.97,0,266100.05,0,0,-898.68,-2995.61,-2640,0,0,0,0,0,-33257.21,65704.54,21716.45,0,0,21716.45,13500,0,0,0,21716.45,227375.01,320911.72,296236.74,633972.74,"example"
2063,2.5,-0.44,54748.27,0,0,-26400,-26400,0,54748.27,0,3.52,26.38,26.38,11617,2555.68,-416.78,-1027.23,-0.49,-2190.46,0.49,0,0,0.49,301028.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-903.09,1,-3010.29,-660,-1020,-300,-300,-360,-2640,11.17,-33624.92,0,267403.95,0,0,-903.09,-3010.29,-2640,0,0,0,0,0,-33370.16,66365.27,21378.11,0,0,21378.11,13500,0,0,0,21378.11,248753.12,353906.83,326167.28,668435.7,"example"
