"Year","inflation","salaries_growth_inflation_corrected","salary","living_costs_change_elternzeit","living_costs_family","living_standard_costs","living_costs","expected_money_for_investment_savings","net_annual_salary","lump_sums","expected_yearly_return_on_passive_investment_inflation_corrected","total_taxes_on_income","capital_gains_tax_rate","passive_investment_return_from_previous_year","passive_investment_vorabpauschale","vorabpauschale_tax_from_previous_year","accumulated_vorabpauschale_tax","housing_cost_growth_inflation_corrected","housing_cost","rental_cost_growth_inflation_corrected","rental_cost","rental_housing_cost","property1_value_growth_inflation_corrected","property1_market_evaluation","property1_purchase_real_cost","property1_available_for_down_payment","property1_used_from_savings","property1_mortgage_principal","property1_principal_repayment_rate","property1_mortgage_interest_rate","property1_mortgage_interest_share","property1_mortgage_payment","property1_mortgage_principal_share","property1_mortgage_length_years","property1_mortgage_principal_left","property1_mortgage_interest_left","property1_max_mortgage_amortization","property1_additional_amortization","property1_loan_family_friends_interest_rate","property1_loan_family_friends_principal_share","property1_loan_family_friends_interest_share","property1_loan_family_friends_payment","property1_loan_family_friends_principal_left","property1_loan_family_friends_interest_left","property1_property_taxes_rate","property1_property_taxes","property1_maintenance_cost_rate","property1_maintenance_cost","property1_hausgeld_maintenance_costs","property1_hausgeld_utilities","property1_hausgeld_reserve_fund","property1_hausgeld_house_management_fee","property1_hausgeld_building_insurance","property1_hausgeld_fees_total","property1_sale_rate_total","property1_sale_costs","property1_sale_capital_gain_tax","property1_value_liquid","properties_principal_share","properties_interest_share","properties_property_taxes","properties_maintenance_cost","properties_hausgeld_fees_total","properties_property_management_fee","properties_vacancy_months_cost","properties_warm_lease_income","properties_income_taxes_adjustment","properties_max_mortgage_amortization","total_expenses","total_income","cash_flow","cash_flow_to_emergency_reserve","cash_flow_to_mortgage_amortization","cash_flow_to_investment","savings_emergency_reserve","passive_investment_money_needed_from_liquid","passive_investment_money_withdrawn_from_capital_gains","passive_investment_money_withdrawn_from_contributions","passive_investment_yearly_contribution","passive_investment_contributions_accumulated","passive_investment_total_invested","passive_investment_total_invested_liquid","total_asset","scenario"
2035,2.5,-0.12,28641.97,0,-3880,-12000,-15880,0,28641.97,0,6.32,14.77,26.38,855.01,1280.09,0,0,0,-1440,0.49,0,0,0.49,157514.2,0,0,0,0,2,3.7,-4522.03,-9026.24,-4504.21,0,-117868.07,-44406.9,0,0,0,0,0,-306.82,0,0,0.3,-472.54,1,-1575.14,0,0,0,0,0,0,11.17,-17594.34,26.38,-24337.36,-4504.21,-4522.03,-472.54,-1575.14,0,0,0,0,0,0,-26953.92,29496.98,1688.05,95.95,0,1592.1,6000,0,0,0,1592.1,10428.17,15765.06,14357.19,17004.29,"example"
2036,2.5,-0.13,28607.6,0,-5755,-12000,-17755,0,28607.6,0,6.22,14.77,26.38,996.35,1312.09,0,0,0,-1440,0.49,0,0,0.49,158286.02,0,0,0,0,2,3.7,-4361.12,-9026.24,-4665.12,0,-113363.86,-40045.78,0,0,0,0,0,0,0,0,0.3,-474.86,1,-1582.86,0,0,0,0,0,0,11.17,-17680.55,0,-12804.17,-4665.12,-4361.12,-474.86,-1582.86,0,0,0,0,0,0,-28838.96,29603.95,-231.36,-231.36,0,0,5768.64,0,0,0,0,10428.17,16761.41,15090.7,27406.43,"example"
2037,2.5,-0.15,28570.41,0,-5755,-12000,-17755,0,28570.41,0,6.12,14.77,26.38,1042.56,1344.89,0,0,0,-1440,0.49,0,0,0.49,159061.62,0,0,0,0,2,3.7,-4194.46,-9026.24,-4831.78,0,-108698.74,-35851.32,0,0,0,0,0,0,0,0,0.3,-477.18,1,-1590.62,0,0,0,0,0,0,11.17,-17767.18,0,-3255.62,-4831.78,-4194.46,-477.18,-1590.62,0,0,0,0,0,0,-28849.04,29612.97,-278.63,-278.63,0,0,5490.01,0,0,0,0,10428.17,17803.97,15858.23,37805.54,"example"
2038,2.5,-0.16,28527.55,0,-7630,-12000,-19630,0,28527.55,0,6.02,14.77,26.38,1089.6,1378.51,0,0,0,-1440,0.49,0,0,0.49,159841.02,0,0,0,0,2,3.7,-4021.85,-9026.24,-5004.39,0,-103866.96,-31829.47,0,0,0,0,0,0,0,0,0.3,-479.52,1,-1598.41,0,0,0,0,0,0,11.17,-17854.24,0,6290.35,-5004.39,-4021.85,-479.52,-1598.41,0,0,0,0,0,0,-30734.17,29617.15,-2206.62,-2206.62,0,0,3283.39,0,0,0,0,10428.17,18893.57,16660.4,46321.55,"example"
2039,2.5,-0.17,28481.91,0,-7630,-12000,-19630,0,28481.91,0,5.92,14.77,26.38,1137.39,1412.97,0,0,0,-1440,0.49,0,0,0.49,160624.24,0,0,0,0,2,3.7,-3843.08,-9026.24,-5183.16,0,-98862.57,-27986.39,0,0,0,0,0,0,0,0,0.3,-481.87,1,-1606.24,0,0,0,0,0,0,11.17,-17941.73,0,15833.55,-5183.16,-3843.08,-481.87,-1606.24,0,0,0,0,0,0,-30744.35,29619.3,-2262.44,-2262.44,0,0,1020.95,0,0,0,0,10428.17,20030.96,17497.74,54827.19,"example"
2040,2.5,-0.18,28433.49,0,-7630,-12000,-19630,0,28433.49,0,5.82,14.77,26.38,1185.83,1448.29,0,205.48,0,-1440,0.49,0,0,0.49,161411.3,0,0,0,0,2,3.7,-3657.92,-9026.24,-5368.32,0,-93679.41,-24328.47,0,0,0,0,0,0,0,0,0.3,-484.23,1,-1614.11,0,0,0,0,0,0,11.17,-18029.64,0,25373.78,-5368.32,-3657.92,-484.23,-1614.11,0,0,0,0,0,0,-30754.58,29619.32,-2321.09,-2321.09,0,0,0,-2321.09,-2115.61,0,0,10428.17,19101.18,16813.24,62504.6,"example"
2041,2.5,-0.2,28382.31,0,-7630,-12000,-19630,0,28382.31,0,5.72,14.77,26.38,1111.69,1484.5,0,405.25,0,-1440,0.49,0,0,0.49,162202.22,0,0,0,0,2,3.7,-3466.14,-9026.24,-5560.1,0,-88311.09,-20862.33,0,0,0,0,0,0,0,0,0.3,-486.61,1,-1622.02,0,0,0,0,0,0,11.17,-18117.99,0,34910.81,-5560.1,-3466.14,-486.61,-1622.02,0,0,0,0,0,0,-30764.87,29494,-2382.56,-2382.56,0,0,0,-2382.56,-1977.31,0,0,10428.17,18235.56,16175.97,71264.36,"example"
2042,2.5,-0.21,28325.55,0,-7630,-12000,-19630,0,28325.55,0,5.62,14.77,26.38,1043.07,1521.61,0,598.92,0,-1440,0.49,0,0,0.49,162997.01,0,0,0,0,2,3.7,-3267.51,-9026.24,-5758.73,0,-82750.99,-17594.82,0,0,0,0,0,0,0,0,0.3,-488.99,1,-1629.97,0,0,0,0,0,0,11.17,-18206.77,0,44444.43,-5758.73,-3267.51,-488.99,-1629.97,0,0,0,0,0,0,-30775.2,29368.62,-2449.65,-2449.65,0,0,0,-2449.65,-1850.73,0,0,10428.17,17427.9,15581.37,80079.1,"example"
2043,2.5,-0.22,28266.07,0,-7630,-12000,-19630,0,28266.07,0,5.52,14.77,26.38,979.45,1559.65,0,785.78,0,-1440,0.49,0,0,0.49,163795.7,0,0,0,0,2,3.7,-3061.79,-9026.24,-5964.45,0,-76992.26,-14533.03,0,0,0,0,0,0,0,0,0.3,-491.39,1,-1637.96,0,0,0,0,0,0,11.17,-18295.98,0,53974.43,-5964.45,-3061.79,-491.39,-1637.96,0,0,0,0,0,0,-30785.59,29245.52,-2519.52,-2519.52,0,0,0,-2519.52,-1733.74,0,0,10428.17,16673.61,15026.06,88944.02,"example"
2044,2.5,-0.23,28203.88,0,-9755,-12000,-21755,0,28203.88,0,5.42,14.77,26.38,920.38,1598.64,0,1112.06,0,-1440,0.49,0,0,0.49,164598.3,0,0,0,0,2,3.7,-2848.71,-9026.24,-6177.53,0,-71027.81,-11684.32,0,0,0,0,0,0,0,0,0.3,-493.79,1,-1645.98,0,0,0,0,0,0,11.17,-18385.63,0,63500.54,-6177.53,-2848.71,-493.79,-1645.98,0,0,0,0,0,0,-32921.01,29124.26,-4717.13,-4717.13,0,0,0,-4717.13,-3605.07,-119.24,0,10308.93,13869.68,12930.35,95755.85,"example"
2045,2.5,-0.24,28139.01,0,-9755,-12000,-21755,0,28139.01,50000,5.32,14.77,26.38,751.74,1638.61,0,1112.06,0,-1440,0.49,0,0,0.49,165404.83,0,0,0,0,2,3.7,-2628.03,-9026.24,-6398.21,0,-64850.28,-9056.29,0,0,0,0,0,0,0,0,0.3,-496.21,1,-1654.05,0,0,0,0,0,0,11.17,-18475.72,0,73022.54,-6398.21,-2628.03,-496.21,-1654.05,0,0,0,0,0,0,-32931.5,78890.75,45207.51,6000,0,39207.51,6000,0,0,0,39207.51,49516.44,53828.93,52691.3,151327.19,"example"
2046,2.5,-0.26,28071.48,0,-11880,-12000,-23880,0,28071.48,0,5.22,14.77,26.38,2863.7,1679.58,0,1215.55,0,-1440,0.49,0,0,0.49,166215.31,0,0,0,0,2,3.7,-2399.46,-9026.24,-6626.78,0,-58452.07,-6656.83,0,0,0,0,0,0,0,0,0.3,-498.65,1,-1662.15,0,0,0,0,0,0,11.17,-18566.25,0,82540.16,-6626.78,-2399.46,-498.65,-1662.15,0,0,0,0,0,0,-35067.04,30935.18,-6995.56,-6995.56,0,0,0,-6995.56,-4312.49,-3820.7,0,45695.74,48559.44,47804,149665.85,"example"
2047,2.5,-0.27,27998.49,0,-11880,-12000,-23880,0,27998.49,0,5.12,14.77,26.38,2534.8,1721.57,0,1292.64,0,-1440,0.49,0,0,0.49,167029.77,0,0,0,0,2,3.7,-2162.73,-9026.24,-6863.51,0,-51825.29,-4494.1,0,0,0,0,0,0,0,0,0.3,-501.09,1,-1670.3,0,0,0,0,0,0,11.17,-18657.23,0,92053.15,-6863.51,-2162.73,-501.09,-1670.3,0,0,0,0,0,0,-35077.63,30533.29,-7079.14,-7079.14,0,0,0,-7079.14,-2863.7,-4970.88,0,40724.86,43259.66,42590.98,153970.04,"example"
2048,2.5,-0.28,27922.89,0,-11880,-12000,-23880,0,27922.89,0,5.02,14.77,26.38,2214.89,1764.61,0,1370.17,0,-1440,0.49,0,0,0.49,167848.22,0,0,0,0,2,3.7,-1917.54,-9026.24,-7108.7,0,-44961.78,-2576.56,0,0,0,0,0,0,0,0,0.3,-503.54,1,-1678.48,0,0,0,0,0,0,11.17,-18748.65,0,101561.23,-7108.7,-1917.54,-503.54,-1678.48,0,0,0,0,0,0,-35088.26,30137.78,-7165.37,-7165.37,0,0,0,-7165.37,-2534.8,-5299.25,0,35425.61,37640.5,37056.21,157950.38,"example"
2049,2.5,-0.29,27844.71,0,-11880,-12000,-23880,0,27844.71,0,4.92,14.77,26.38,1889.55,1808.73,0,1448.99,0,-1440,0.49,0,0,0.49,168670.68,0,0,0,0,2,3.7,-1663.59,-9026.24,-7362.65,0,-37853.08,-912.97,0,0,0,0,0,0,0,0,0.3,-506.01,1,-1686.71,0,0,0,0,0,0,11.17,-18840.51,0,111064.12,-7362.65,-1663.59,-506.01,-1686.71,0,0,0,0,0,0,-35098.96,29734.26,-7254.25,-7254.25,0,0,0,-7254.25,-2214.89,-5623.65,0,29801.96,31691.51,31193.05,161596.14,"example"
2050,2.5,-0.3,27763.96,0,-11880,-12000,-23880,0,27763.96,-25000,4.82,14.77,26.38,1559.22,1853.95,0,1805.12,0,-1440,0.49,0,0,0.49,169497.17,0,0,0,0,2,3.7,-1400.56,-9026.24,-7625.68,0,-30490.43,0,0,0,0,0,0,0,0,0,0.3,-508.49,1,-1694.97,0,0,0,0,0,0,11.17,-18932.83,0,120073.91,-7625.68,-1400.56,-508.49,-1694.97,0,0,0,0,0,0,-35109.7,4323.18,-32345.74,-32345.74,0,0,0,-32345.74,-1889.55,-30954.65,0,0,406.53,299.29,139413.27,"example"
2051,2.5,-0.32,27680.67,0,-5940,-12000,-17940,0,27680.67,0,4.72,14.77,26.38,19.59,1900.3,0,1805.12,0,-1440,0.49,0,0,0.49,170327.71,0,0,0,0,2,3.7,-1128.15,-9026.24,-7898.09,0,-22864.75,0,0,0,0,0,0,0,0,0,0.3,-510.98,1,-1703.28,0,0,0,0,0,0,11.17,-19025.61,0,128437.35,-7898.09,-1128.15,-510.98,-1703.28,0,0,0,0,0,0,-29180.5,27700.26,-1499.83,-1499.83,0,0,-1499.83,-1499.83,0,-1200.54,0,0,0,0,145963.13,"example"
2052,2.5,-0.33,27592.09,0,-5940,-12000,-17940,0,27592.09,0,4.62,14.77,26.38,0,1947.81,0,1805.12,0,-1440,0.49,0,0,0.49,171162.32,0,0,0,0,2,3.7,-846,-9026.24,-8180.24,0,-14966.66,0,0,0,0,0,0,0,0,0,0.3,-513.49,1,-1711.62,0,0,0,0,0,0,11.17,-19118.83,0,137076.83,-8180.24,-846,-513.49,-1711.62,0,0,0,0,0,0,-29191.35,27592.09,-1599.26,-1599.26,0,0,-3279.07,-1599.26,0,-1599.26,0,0,0,0,152916.59,"example"
2053,2.5,-0.34,27501.04,0,0,-12000,-12000,0,27501.04,0,4.52,14.77,26.38,0,1996.51,0,1805.12,0,-1440,0.49,0,0,0.49,172001.02,0,0,0,0,2,3.7,-553.77,-9026.24,-8472.47,0,-6786.42,0,0,0,0,0,0,0,0,0,0.3,-516,1,-1720.01,0,0,0,0,0,0,11.17,-19212.51,0,146002.09,-8472.47,-553.77,-516,-1720.01,0,0,0,0,0,0,-23262.25,27501.04,4238.79,4238.79,0,0,566.23,0,0,0,0,0,0,0,165780.83,"example"
2054,2.5,-0.35,27407.54,0,0,-12000,-12000,0,27407.54,0,4.42,14.77,26.38,0,2046.42,0,1805.12,0,-1440,0.49,0,0,0.49,172843.82,0,0,0,0,2,3.7,-251.1,-7037.52,-6786.42,0,0,0,0,0,0,0,0,0,0,0,0.3,-518.53,1,-1728.44,0,0,0,0,0,0,11.17,-19306.65,0,153537.17,-6786.42,-251.1,-518.53,-1728.44,0,0,0,0,0,0,-21284.49,27407.54,6123.05,5433.77,0,689.28,6000,0,0,0,689.28,689.28,689.28,689.28,179533.1,"example"
2055,2.5,-0.37,27311.61,0,0,-12000,-12000,0,27311.61,0,4.32,14.77,26.38,30.47,2097.58,0,1805.12,0,-1440,0.49,0,0,0.49,173690.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-521.07,1,-1736.91,0,0,0,0,0,0,11.17,-19401.26,0,154289.49,0,0,-521.07,-1736.91,0,0,0,0,0,0,-14257.98,27342.08,13053.63,0,0,13053.63,6000,0,0,0,13053.63,13742.91,13773.38,13765.34,193464.13,"example"
2056,2.5,-0.38,27210.56,0,0,-12000,-12000,0,27210.56,0,4.22,14.77,26.38,595.01,2150.02,0,1805.12,0,-1440,0.49,0,0,0.49,174541.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-523.63,1,-1745.42,0,0,0,0,0,0,11.17,-19496.32,0,155045.51,0,0,-523.63,-1745.42,0,0,0,0,0,0,-14269.05,27805.57,12941.51,0,0,12941.51,6000,0,0,0,12941.51,26684.42,27309.9,27144.9,207851.73,"example"
2057,2.5,-0.39,27107.16,0,0,-12000,-12000,0,27107.16,0,4.12,14.77,26.38,1152.48,2203.77,0,1805.12,0,-1440,0.49,0,0,0.49,175397.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-526.19,1,-1753.97,0,0,0,0,0,0,11.17,-19591.85,0,155805.23,0,0,-526.19,-1753.97,0,0,0,0,0,0,-14280.16,28259.64,12827,0,0,12827,6000,0,0,0,12827,39511.42,41289.38,40820.35,222686.46,"example"
2058,2.5,-0.4,27001.44,0,0,-12000,-12000,0,27001.44,0,4.02,14.77,26.38,1701.12,2258.86,0,1805.12,0,-1440,0.49,0,0,0.49,176256.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-528.77,1,-1762.57,0,0,0,0,0,0,11.17,-19687.85,0,156568.68,0,0,-528.77,-1762.57,0,0,0,0,0,0,-14291.34,28702.56,12710.1,0,0,12710.1,6000,0,0,0,12710.1,52221.52,55700.6,54782.82,237957.13,"example"
2059,2.5,-0.41,26893.43,0,0,-12000,-12000,0,26893.43,0,3.92,14.77,26.38,2239.16,2315.33,0,1805.12,0,-1440,0.49,0,0,0.49,177120.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-531.36,1,-1771.2,0,0,0,0,0,0,11.17,-19784.33,0,157335.86,0,0,-531.36,-1771.2,0,0,0,0,0,0,-14302.56,29132.59,12590.87,0,0,12590.87,6000,0,0,0,12590.87,64812.39,70530.63,69022.16,253650.82,"example"
2060,2.5,-0.43,26783.17,0,0,-12000,-12000,0,26783.17,0,3.82,14.77,26.38,2764.8,2373.21,0,1805.12,0,-1440,0.49,0,0,0.49,177988.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-533.96,1,-1779.88,0,0,0,0,0,0,11.17,-19881.27,0,158106.81,0,0,-533.96,-1779.88,0,0,0,0,0,0,-14313.84,29547.97,12469.33,0,0,12469.33,6000,0,0,0,12469.33,77281.72,85764.76,83526.93,269752.84,"example"
2061,2.5,-0.44,26668,0,0,-12000,-12000,0,26668,0,3.72,14.77,26.38,3276.21,2432.54,0,1805.12,0,-1440,0.49,0,0,0.49,178860.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-536.58,1,-1788.6,0,0,0,0,0,0,11.17,-19978.69,0,158881.53,0,0,-536.58,-1788.6,0,0,0,0,0,0,-14325.18,29944.21,12342.82,0,0,12342.82,6000,0,0,0,12342.82,89624.54,101383.79,98281.7,286244.01,"example"
2062,2.5,-0.45,26550.66,0,0,-12000,-12000,0,26550.66,0,3.62,14.77,26.38,3771.48,2493.35,0,1805.12,0,-1440,0.49,0,0,0.49,179736.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-539.21,1,-1797.37,0,0,0,0,0,0,11.17,-20076.58,0,159660.06,0,0,-539.21,-1797.37,0,0,0,0,0,0,-14336.58,30322.14,12214.08,0,0,12214.08,6000,0,0,0,12214.08,101838.62,117369.35,113272.34,303105.99,"example"
2063,2.5,-0.46,26431.18,0,0,-12000,-12000,0,26431.18,0,3.52,14.77,26.38,4248.77,2555.68,0,1805.12,0,-1440,0.49,0,0,0.49,180617.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-541.85,1,-1806.17,0,0,0,0,0,0,11.17,-20174.96,0,160442.39,0,0,-541.85,-1806.17,0,0,0,0,0,0,-14348.02,30679.95,12083.16,0,0,12083.16,6000,0,0,0,12083.16,113921.78,133701.28,128483.45,320318.63,"example"
2064,2.5,-0.48,26309.6,0,0,-12000,-12000,0,26309.6,0,3.42,14.77,26.38,4706.29,2619.57,0,1805.12,0,-1440,0.49,0,0,0.49,181502.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-544.51,1,-1815.02,0,0,0,0,0,0,11.17,-20273.82,0,161228.56,0,0,-544.51,-1815.02,0,0,0,0,0,0,-14359.53,31015.89,11950.07,0,0,11950.07,6000,0,0,0,11950.07,125871.85,150357.64,143898.29,337860.02,"example"
