"Year","inflation","salaries_growth_inflation_corrected","salary","living_costs_change_elternzeit","living_costs_family","living_standard_costs","living_costs","expected_money_for_investment_savings","net_annual_salary","lump_sums","expected_yearly_return_on_passive_investment_inflation_corrected","total_taxes_on_income","capital_gains_tax_rate","passive_investment_return_from_previous_year","passive_investment_vorabpauschale","vorabpauschale_tax_from_previous_year","accumulated_vorabpauschale_tax","housing_cost_growth_inflation_corrected","housing_cost","rental_cost_growth_inflation_corrected","rental_cost","rental_housing_cost","property1_value_growth_inflation_corrected","property1_market_evaluation","property1_purchase_real_cost","property1_available_for_down_payment","property1_used_from_savings","property1_mortgage_principal","property1_principal_repayment_rate","property1_mortgage_interest_rate","property1_mortgage_interest_share","property1_mortgage_payment","property1_mortgage_principal_share","property1_mortgage_length_years","property1_mortgage_principal_left","property1_mortgage_interest_left","property1_max_mortgage_amortization","property1_additional_amortization","property1_loan_family_friends_interest_rate","property1_loan_family_friends_principal_share","property1_loan_family_friends_interest_share","property1_loan_family_friends_payment","property1_loan_family_friends_principal_left","property1_loan_family_friends_interest_left","property1_property_taxes_rate","property1_property_taxes","property1_maintenance_cost_rate","property1_maintenance_cost","property1_hausgeld_maintenance_costs","property1_hausgeld_utilities","property1_hausgeld_reserve_fund","property1_hausgeld_house_management_fee","property1_hausgeld_building_insurance","property1_hausgeld_fees_total","property1_sale_rate_total","property1_sale_costs","property1_sale_capital_gain_tax","property1_value_liquid","properties_principal_share","properties_interest_share","properties_property_taxes","properties_maintenance_cost","properties_hausgeld_fees_total","properties_property_management_fee","properties_vacancy_months_cost","properties_warm_lease_income","properties_income_taxes_adjustment","properties_max_mortgage_amortization","total_expenses","total_income","cash_flow","cash_flow_to_emergency_reserve","cash_flow_to_mortgage_amortization","cash_flow_to_investment","savings_emergency_reserve","passive_investment_money_needed_from_liquid","passive_investment_money_withdrawn_from_capital_gains","passive_investment_money_withdrawn_from_contributions","passive_investment_yearly_contribution","passive_investment_contributions_accumulated","passive_investment_total_invested","passive_investment_total_invested_liquid","total_asset","scenario"
2035,2.5,0.87,100029.05,0,-3880,-50400,-54280,0,100029.05,0,6.12,44.31,26.38,1128.61,1280.09,0,581.77,0,-3960,0.49,0,0,0.49,525047.34,0,0,0,0,2,3.7,-15170.52,-30281.25,-15110.73,0,-395424.45,-148975.97,0,0,0,0,0,0,0,0,0.3,-1575.14,1,-5250.47,-900,-1500,-480,-480,-360,-3720,11.17,-58647.79,26.38,-84608.36,-15110.73,-15170.52,-1575.14,-5250.47,-3720,0,0,0,0,0,-95106.86,101157.66,4922.19,4922.19,0,0,18022.11,0,0,0,0,9216.37,19215.26,16577.55,17884.29,"example"
2036,2.5,0.81,100899.3,0,-5755,-50400,-56155,0,100899.3,0,6,44.31,26.38,1175.97,1312.09,0,581.77,0,-3960,0.49,0,0,0.49,527620.07,0,0,0,0,2,3.7,-14630.7,-30281.25,-15650.55,0,-380313.72,-134345.27,0,0,0,0,0,0,0,0,0.3,-1582.86,1,-5276.2,-900,-1500,-480,-480,-360,-3720,11.17,-58935.16,0,-45974.08,-15650.55,-14630.7,-1582.86,-5276.2,-3720,0,0,0,0,0,-97015.31,102075.27,3883.99,3883.99,0,0,21906.1,0,0,0,0,9216.37,20391.23,17443.3,55258.41,"example"
2037,2.5,0.75,101716.58,0,-5755,-50400,-56155,0,101716.58,0,5.88,44.31,26.38,1223.47,1344.89,0,581.77,0,-3960,0.49,0,0,0.49,530205.41,0,0,0,0,2,3.7,-14071.61,-30281.25,-16209.64,0,-364663.17,-120273.66,0,0,0,0,0,0,0,0,0.3,-1590.62,1,-5302.05,-900,-1500,-480,-480,-360,-3720,11.17,-59223.94,0,-13955.36,-16209.64,-14071.61,-1590.62,-5302.05,-3720,0,0,0,0,0,-97048.92,102940.05,4667.66,1493.9,0,3173.76,23400,0,0,0,3173.76,12390.13,24788.46,21517.78,93457.04,"example"
2038,2.5,0.69,102479.45,0,-7630,-50400,-58030,0,102479.45,0,5.76,44.31,26.38,1457.56,1378.51,0,581.77,0,-3960,0.49,0,0,0.49,532803.42,0,0,0,0,2,3.7,-13492.54,-30281.25,-16788.71,0,-348453.53,-106781.12,0,0,0,0,0,0,0,0,0.3,-1598.41,1,-5328.03,-900,-1500,-480,-480,-360,-3720,11.17,-59514.14,0,18054.63,-16788.71,-13492.54,-1598.41,-5328.03,-3720,0,0,0,0,0,-98957.69,103937.01,3521.76,0,0,3521.76,23400,0,0,0,3521.76,15911.89,29767.78,26112.6,130736.55,"example"
2039,2.5,0.64,103186.56,0,-7630,-50400,-58030,0,103186.56,0,5.64,44.31,26.38,1714.62,1412.97,0,581.77,0,-3960,0.49,0,0,0.49,535414.16,0,0,0,0,2,3.7,-12892.78,-30281.25,-17388.47,0,-331664.82,-93888.34,0,0,0,0,0,0,0,0,0.3,-1606.24,1,-5354.14,-900,-1500,-480,-480,-360,-3720,11.17,-59805.76,0,50055.24,-17388.47,-12892.78,-1606.24,-5354.14,-3720,0,0,0,0,0,-98991.63,104901.18,4194.93,0,0,4194.93,23400,0,0,0,4194.93,20106.82,35677.33,31569.83,168938.33,"example"
2040,2.5,0.58,103846.95,0,-7630,-50400,-58030,0,103846.95,0,5.52,44.31,26.38,2012.2,1448.29,0,581.77,0,-3960,0.49,0,0,0.49,538037.69,0,0,0,0,2,3.7,-12271.6,-30281.25,-18009.65,0,-314276.35,-81616.74,0,0,0,0,0,0,0,0,0.3,-1614.11,1,-5380.38,-900,-1500,-480,-480,-360,-3720,11.17,-60098.81,0,82045.79,-18009.65,-12271.6,-1614.11,-5380.38,-3720,0,0,0,0,0,-99025.74,105859.15,4821.21,0,0,4821.21,23400,0,0,0,4821.21,24928.03,42510.74,37872.42,208055.34,"example"
2041,2.5,0.52,104449.26,0,-7630,-50400,-58030,0,104449.26,0,5.4,44.31,26.38,2346.59,1484.5,0,581.77,0,-3960,0.49,0,0,0.49,540674.07,0,0,0,0,2,3.7,-11628.22,-30281.25,-18653.03,0,-296266.7,-69988.52,0,0,0,0,0,0,0,0,0.3,-1622.02,1,-5406.74,-900,-1500,-480,-480,-360,-3720,11.17,-60393.29,0,114025.56,-18653.03,-11628.22,-1622.02,-5406.74,-3720,0,0,0,0,0,-99060.01,106795.85,5389.25,0,0,5389.25,23400,0,0,0,5389.25,30317.28,50246.58,44989.23,248065.43,"example"
2042,2.5,0.46,104992.4,0,-7630,-50400,-58030,0,104992.4,0,5.28,44.31,26.38,2713.32,1521.61,0,581.77,0,-3960,0.49,0,0,0.49,543323.37,0,0,0,0,2,3.7,-10961.87,-30281.25,-19319.38,0,-277613.67,-59026.65,0,0,0,0,0,0,0,0,0.3,-1629.97,1,-5433.23,-900,-1500,-480,-480,-360,-3720,11.17,-60689.22,0,145993.83,-19319.38,-10961.87,-1629.97,-5433.23,-3720,0,0,0,0,0,-99094.45,107705.72,5897.95,0,0,5897.95,23400,0,0,0,5897.95,36215.23,58857.85,52884.73,288940.9,"example"
2043,2.5,0.4,105475.37,0,-7630,-50400,-58030,0,105475.37,0,5.16,44.31,26.38,3107.69,1559.65,0,581.77,0,-3960,0.49,0,0,0.49,545985.65,0,0,0,0,2,3.7,-10271.71,-30281.25,-20009.54,0,-258294.29,-48754.94,0,0,0,0,0,0,0,0,0.3,-1637.96,1,-5459.86,-900,-1500,-480,-480,-360,-3720,11.17,-60986.6,0,177949.82,-20009.54,-10271.71,-1637.96,-5459.86,-3720,0,0,0,0,0,-99129.07,108583.06,6346.3,0,0,6346.3,23400,0,0,0,6346.3,42561.53,68311.84,61518.91,330648.26,"example"
2044,2.5,0.34,105897.27,0,-9755,-50400,-60155,0,105897.27,0,5.04,44.31,26.38,3524.89,1598.64,0,581.77,0,-3960,0.49,0,0,0.49,548660.98,0,0,0,0,2,3.7,-9556.89,-30281.25,-20724.36,0,-238284.75,-39198.05,0,0,0,0,0,0,0,0,0.3,-1645.98,1,-5486.61,-900,-1500,-480,-480,-360,-3720,11.17,-61285.43,0,209892.75,-20724.36,-9556.89,-1645.98,-5486.61,-3720,0,0,0,0,0,-101288.84,109422.16,4608.43,0,0,4608.43,23400,0,0,0,4608.43,47169.96,76445.16,68722.36,371023.34,"example"
2045,2.5,0.28,106257.32,0,-9755,-50400,-60155,0,106257.32,50000,4.92,44.31,26.38,3852.84,1638.61,0,581.77,0,-3960,0.49,0,0,0.49,551349.42,0,0,0,0,2,3.7,-8816.54,-30281.25,-21464.71,0,-217560.39,-30381.51,0,0,0,0,0,0,0,0,0.3,-1654.05,1,-5513.49,-900,-1500,-480,-480,-360,-3720,11.17,-61585.73,0,241821.79,-21464.71,-8816.54,-1654.05,-5513.49,-3720,0,0,0,0,0,-101323.79,160110.16,54933.53,0,0,54933.53,23400,0,0,0,54933.53,102103.49,135231.53,126492.35,462039.05,"example"
2046,2.5,0.22,106554.84,0,-11880,-50400,-62280,0,106554.84,0,4.8,44.31,26.38,6653.39,1679.58,-16.66,565.11,0,-3960,0.49,0,0,0.49,554051.03,0,0,0,0,2,3.7,-8049.73,-30281.25,-22231.52,0,-196095.68,-22331.78,0,0,0,0,0,0,0,0,0.3,-1662.15,1,-5540.51,-900,-1500,-480,-480,-360,-3720,11.17,-61887.5,0,273736.07,-22231.52,-8049.73,-1662.15,-5540.51,-3720,0,0,0,0,0,-103500.57,113208.23,3054.27,0,0,3054.27,23400,0,0,0,3054.27,105157.76,144939.19,134444.85,503962.76,"example"
2047,2.5,0.16,106789.26,0,-11880,-50400,-62280,0,106789.26,0,4.68,44.31,26.38,6957.08,1721.57,-38.58,526.53,0,-3960,0.49,0,0,0.49,556765.88,0,0,0,0,2,3.7,-7255.54,-30281.25,-23025.71,0,-173864.16,-15076.24,0,0,0,0,0,0,0,0,0.3,-1670.3,1,-5567.66,-900,-1500,-480,-480,-360,-3720,11.17,-62190.75,0,305634.73,-23025.71,-7255.54,-1670.3,-5567.66,-3720,0,0,0,0,0,-103557.79,113746.34,3231.47,0,0,3231.47,23400,0,0,0,3231.47,108389.23,155127.74,142798.12,546353.22,"example"
2048,2.5,0.1,106960.12,0,-11880,-50400,-62280,0,106960.12,0,4.56,44.31,26.38,7259.98,1764.61,-61.87,464.66,0,-3960,0.49,0,0,0.49,559494.03,0,0,0,0,2,3.7,-6432.97,-30281.25,-23848.28,0,-150838.45,-8643.27,0,0,0,0,0,0,0,0,0.3,-1678.48,1,-5594.94,-900,-1500,-480,-480,-360,-3720,11.17,-62495.48,0,337516.83,-23848.28,-6432.97,-1678.48,-5594.94,-3720,0,0,0,0,0,-103616.54,114220.1,3343.58,0,0,3343.58,23400,0,0,0,3343.58,111732.81,165731.3,151486.5,589143.61,"example"
2049,2.5,0.04,107067.08,0,-11880,-50400,-62280,0,107067.08,0,4.44,44.31,26.38,7557.35,1808.73,-86.28,378.38,0,-3960,0.49,0,0,0.49,562235.55,0,0,0,0,2,3.7,-5581.02,-30281.25,-24700.23,0,-126990.17,-3062.25,0,0,0,0,0,0,0,0,0.3,-1686.71,1,-5622.36,-900,-1500,-480,-480,-360,-3720,11.17,-62801.71,0,369381.42,-24700.23,-5581.02,-1686.71,-5622.36,-3720,0,0,0,0,0,-103676.6,114624.43,3390.48,0,0,3390.48,23400,0,0,0,3390.48,115123.29,176679.13,160440.7,632262.26,"example"
2050,2.5,-0.01,107109.91,0,-11880,-50400,-62280,0,107109.91,0,4.32,44.31,26.38,7844.55,1853.95,-111.56,266.82,0,-3960,0.49,0,0,0.49,564990.5,0,0,0,0,2,3.7,-4698.64,-30281.25,-25582.61,0,-102289.94,0,0,0,0,0,0,0,0,0,0.3,-1694.97,1,-5649.9,-900,-1500,-480,-480,-360,-3720,11.17,-63109.44,0,399591.12,-25582.61,-4698.64,-1694.97,-5649.9,-3720,0,0,0,0,0,-103737.68,114954.46,3372.23,0,0,3372.23,23400,0,0,0,3372.23,118495.52,187895.91,169588.09,673996.47,"example"
2051,2.5,-0.07,107099.2,0,-5940,-50400,-56340,0,107099.2,0,4.2,44.31,26.38,8117.1,1900.3,-137.47,129.35,0,-3960,0.49,0,0,0.49,567758.95,0,0,0,0,2,3.7,-3784.73,-30281.25,-26496.52,0,-76707.33,0,0,0,0,0,0,0,0,0,0.3,-1703.28,1,-5677.59,-900,-1500,-480,-480,-360,-3720,11.17,-63418.67,0,427632.95,-26496.52,-3784.73,-1703.28,-5677.59,-3720,0,0,0,0,0,-97859.59,115216.3,9239.61,0,0,9239.61,23400,0,0,0,9239.61,127735.13,205252.62,184803.51,719704.24,"example"
2052,2.5,-0.13,107024.23,0,-5940,-50400,-56340,0,107024.23,0,4.08,44.31,26.38,8620.61,1947.81,-183.94,-54.59,0,-3960,0.49,0,0,0.49,570540.97,0,0,0,0,2,3.7,-2838.17,-30281.25,-27443.08,0,-50210.81,0,0,0,0,0,0,0,0,0,0.3,-1711.62,1,-5705.41,-900,-1500,-480,-480,-360,-3720,11.17,-63729.43,0,456600.73,-27443.08,-2838.17,-1711.62,-5705.41,-3720,0,0,0,0,0,-97942.22,115644.84,9082.01,0,0,9082.01,23400,0,0,0,9082.01,136817.14,222955.24,200232.01,766685.4,"example"
2053,2.5,-0.19,106885.1,0,0,-50400,-50400,0,106885.1,0,3.96,44.31,26.38,9096.57,1996.51,-231.28,-285.87,0,-3960,0.49,0,0,0.49,573336.62,0,0,0,0,2,3.7,-1857.8,-30281.25,-28423.45,0,-22767.73,0,0,0,0,0,0,0,0,0,0.3,-1720.01,1,-5733.37,-900,-1500,-480,-480,-360,-3720,11.17,-64041.7,0,486527.19,-28423.45,-1857.8,-1720.01,-5733.37,-3720,0,0,0,0,0,-92085.91,115981.67,14799.19,0,0,14799.19,23400,0,0,0,14799.19,151616.33,246851,221728.09,820819.89,"example"
2054,2.5,-0.25,106682.02,0,0,-50400,-50400,0,106682.02,0,3.84,44.31,26.38,9775.3,2046.42,-299.35,-585.22,0,-3960,0.49,0,0,0.49,576145.97,0,0,0,0,2,3.7,-842.41,-23610.14,-22767.73,0,0,0,0,0,0,0,0,0,0,0,0.3,-1728.44,1,-5761.46,-900,-1500,-480,-480,-360,-3720,11.17,-64355.5,0,511790.47,-22767.73,-842.41,-1728.44,-5761.46,-3720,0,0,0,0,0,-85519.39,116457.32,21162.63,0,0,21162.63,23400,0,0,0,21162.63,172778.96,277788.93,250087.3,877334.9,"example"
2055,2.5,-0.31,106415.31,0,0,-50400,-50400,0,106415.31,-25000,3.72,44.31,26.38,10667.09,2097.58,-391.03,-976.25,0,-3960,0.49,0,0,0.49,578969.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-1736.91,1,-5789.69,-900,-1500,-480,-480,-360,-3720,11.17,-64670.85,0,514298.24,0,0,-1736.91,-5789.69,-3720,0,0,0,0,0,-62037.63,92082.4,19377.68,0,0,19377.68,23400,0,0,0,19377.68,192156.64,307833.7,277318.09,910202.79,"example"
2056,2.5,-0.37,106085.42,0,0,-50400,-50400,0,106085.42,0,3.6,44.31,26.38,11451.41,2150.02,-479.33,-1455.58,0,-3960,0.49,0,0,0.49,581806.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-1745.42,1,-5818.06,-900,-1500,-480,-480,-360,-3720,11.17,-64987.73,0,516818.31,0,0,-1745.42,-5818.06,-3720,0,0,0,0,0,-62162.81,117536.83,43922.61,0,0,43922.61,23400,0,0,0,43922.61,236079.25,363207.72,329671.23,968413.76,"example"
2057,2.5,-0.43,105692.9,0,0,-50400,-50400,0,105692.9,0,3.48,44.31,26.38,13075.48,2203.77,-653.4,-2108.98,0,-3960,0.49,0,0,0.49,584656.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-1753.97,1,-5846.57,-900,-1500,-480,-480,-360,-3720,11.17,-65306.17,0,519350.72,0,0,-1753.97,-5846.57,-3720,0,0,0,0,0,-62373.94,118768.38,43318.96,0,0,43318.96,23400,0,0,0,43318.96,279398.21,419602.16,382616.36,1027659.05,"example"
2058,2.5,-65,105238.42,0,0,-50400,-50400,0,105238.42,0,3.41,44.31,26.38,14602.16,2258.86,-830.59,-2939.57,0,-3960,0.49,0,0,0.49,587521.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-1762.57,1,-5875.22,-900,-1500,-480,-480,-360,-3720,11.17,-65626.18,0,521895.53,0,0,-1762.57,-5875.22,-3720,0,0,0,0,0,-62588.38,119840.58,42650.04,0,0,42650.04,23400,0,0,0,42650.04,322048.25,476854.36,436016.51,1087776.07,"example"
2059,2.5,-2.44,36833.45,0,0,-50400,-50400,0,36833.45,0,3.41,44.31,26.38,16260.73,2315.33,-1010.33,-1382.59,0,-3960,0.49,0,0,0.49,590400.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-1771.2,1,-5904.01,-900,-1500,-480,-480,-360,-3720,11.17,-65947.74,0,524452.83,0,0,-1771.2,-5904.01,-3720,0,0,0,0,0,-62805.54,53094.18,-25972.09,-25972.09,0,0,0,-25972.09,-25972.09,0,0,322048.25,467143,428867,1057543.57,"example"
2060,2.5,-2.44,35934.71,0,0,-50400,-50400,0,35934.71,0,3.41,44.31,26.38,15929.58,2373.21,-962.04,157.99,0,-3960,0.49,0,0,0.49,593293.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-1779.88,1,-5932.94,-900,-1500,-480,-480,-360,-3720,11.17,-66270.89,0,527022.64,0,0,-1779.88,-5932.94,-3720,0,0,0,0,0,-62794.86,51864.29,-26860.15,-26860.15,0,0,0,-26860.15,-26702.16,0,0,322048.25,456370.42,420936.23,1049663.95,"example"
2061,2.5,-2.44,35057.9,0,0,-50400,-50400,0,35057.9,0,3.41,44.31,26.38,15562.23,2432.54,-909.77,1664.72,0,-3960,0.49,0,0,0.49,596200.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-1788.6,1,-5962.01,-900,-1500,-480,-480,-360,-3720,11.17,-66595.61,0,529605.06,0,0,-1788.6,-5962.01,-3720,0,0,0,0,0,-62780.38,50620.13,-27722.48,-27722.48,0,0,0,-27722.48,-26057.76,0,0,322048.25,445874.89,413209.42,1042075.56,"example"
2062,2.5,-2.44,34202.49,0,0,-50400,-50400,0,34202.49,0,3.41,44.31,26.38,15204.33,2493.35,-858.05,3129.58,0,-3960,0.49,0,0,0.49,599122.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-1797.37,1,-5991.22,-900,-1500,-480,-480,-360,-3720,11.17,-66921.93,0,532200.12,0,0,-1797.37,-5991.22,-3720,0,0,0,0,0,-62766.64,49406.82,-28564.15,-28564.15,0,0,0,-28564.15,-25434.57,0,0,322048.25,435644.65,405677.92,1034766.7,"example"
2063,2.5,-2.44,33367.95,0,0,-50400,-50400,0,33367.95,0,3.41,44.31,26.38,14855.48,2555.68,-806.83,4544.53,0,-3960,0.49,0,0,0.49,602057.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-1806.17,1,-6020.58,-900,-1500,-480,-480,-360,-3720,11.17,-67249.85,0,534807.9,0,0,-1806.17,-6020.58,-3720,0,0,0,0,0,-62753.58,48223.43,-29385.63,-29385.63,0,0,0,-29385.63,-24841.1,0,0,322048.25,425659.03,398326.51,1027716.78,"example"
