"Year","inflation","salaries_growth_inflation_corrected","salary","living_costs_change_elternzeit","living_costs_family","living_standard_costs","living_costs","expected_money_for_investment_savings","net_annual_salary","lump_sums","expected_yearly_return_on_passive_investment_inflation_corrected","total_taxes_on_income","capital_gains_tax_rate","passive_investment_return_from_previous_year","passive_investment_vorabpauschale","vorabpauschale_tax_from_previous_year","accumulated_vorabpauschale_tax","housing_cost_growth_inflation_corrected","housing_cost","rental_cost_growth_inflation_corrected","rental_cost","rental_housing_cost","property1_value_growth_inflation_corrected","property1_market_evaluation","property1_purchase_real_cost","property1_available_for_down_payment","property1_used_from_savings","property1_mortgage_principal","property1_principal_repayment_rate","property1_mortgage_interest_rate","property1_mortgage_principal_share","property1_mortgage_interest_share","property1_mortgage_payment","property1_mortgage_length_years","property1_mortgage_principal_left","property1_mortgage_interest_left","property1_max_mortgage_amortization","property1_additional_amortization","property1_loan_family_friends_interest_rate","property1_loan_family_friends_principal_share","property1_loan_family_friends_interest_share","property1_loan_family_friends_payment","property1_loan_family_friends_principal_left","property1_loan_family_friends_interest_left","property1_property_taxes_rate","property1_property_taxes","property1_maintenance_cost_rate","property1_maintenance_cost","property1_hausgeld_maintenance_costs","property1_hausgeld_utilities","property1_hausgeld_reserve_fund","property1_hausgeld_house_management_fee","property1_hausgeld_building_insurance","property1_hausgeld_fees_total","property1_sale_rate_total","property1_sale_costs","property1_sale_capital_gain_tax","property1_value_liquid","properties_principal_share","properties_interest_share","properties_property_taxes","properties_maintenance_cost","properties_hausgeld_fees_total","properties_property_management_fee","properties_vacancy_months_cost","properties_warm_lease_income","properties_income_taxes_adjustment","properties_max_mortgage_amortization","total_expenses","total_income","cash_flow","cash_flow_to_emergency_reserve","cash_flow_to_mortgage_amortization","cash_flow_to_investment","savings_emergency_reserve","passive_investment_money_needed_from_liquid","passive_investment_money_withdrawn_from_capital_gains","passive_investment_money_withdrawn_from_contributions","passive_investment_yearly_contribution","passive_investment_contributions_accumulated","passive_investment_total_invested","passive_investment_total_invested_liquid","total_asset","scenario"
2035,2.5,0.81,99752.35,0,-3880,-50400,-54280,0,99752.35,0,6.02,44.31,26.38,6618.19,1280.09,-28.15,-28.15,0,-3960,0.49,-25202.27,-3960,0.49,525047.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83470.42,106370.54,16281.93,0,0,16281.93,23400,0,0,0,16281.93,106351.08,130512.98,124139.07,153912.98,"example"
2036,2.5,0.75,100560.34,0,-5755,-50400,-56155,0,100560.34,0,5.89,44.31,26.38,7856.88,1312.09,-97.56,-125.71,0,-3960,0.49,-25325.76,-3960,0.49,527620.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85538.32,108417.22,15022.02,0,0,15022.02,23400,0,0,0,15022.02,121373.1,153391.88,144945.33,176791.88,"example"
2037,2.5,0.68,101314.54,0,-5755,-50400,-56155,0,101314.54,0,5.76,44.31,26.38,9034.78,1344.89,-166.69,-292.4,0,-3960,0.49,-25449.86,-3960,0.49,530205.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85731.55,110349.32,15582.99,0,0,15582.99,23400,0,0,0,15582.99,136956.09,178009.65,167179.72,201409.65,"example"
2038,2.5,0.62,102003.48,0,-7630,-50400,-58030,0,102003.48,0,5.63,44.31,26.38,10253.36,1378.51,-241.51,-533.91,0,-3960,0.49,-25574.56,-3960,0.49,532803.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87806.07,112256.84,14197.41,0,0,14197.41,23400,0,0,0,14197.41,151153.5,202460.42,188925.65,225860.42,"example"
2039,2.5,0.55,102635.9,0,-7630,-50400,-58030,0,102635.9,0,5.5,44.31,26.38,11398.52,1412.97,-315.54,-849.45,0,-3960,0.49,-25699.88,-3960,0.49,535414.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88005.42,114034.42,14630.48,0,0,14630.48,23400,0,0,0,14630.48,165783.98,228489.42,211947.72,251889.42,"example"
2040,2.5,0.49,103200.4,0,-7630,-50400,-58030,0,103200.4,0,5.37,44.31,26.38,12566.92,1448.29,-394.71,-1244.16,0,-3960,0.49,-25825.81,-3960,0.49,538037.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88210.52,115767.32,14989.88,0,0,14989.88,23400,0,0,0,14989.88,180773.86,256046.22,236189.37,279446.22,"example"
2041,2.5,0.42,103706.08,0,-7630,-50400,-58030,0,103706.08,0,5.24,44.31,26.38,13749.68,1484.5,-478.84,-1723,0,-3960,0.49,-25952.36,-3960,0.49,540674.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88421.2,117455.76,15284.88,0,0,15284.88,23400,0,0,0,15284.88,196058.74,285080.78,261596.77,308480.78,"example"
2042,2.5,0.36,104141.65,0,-7630,-50400,-58030,0,104141.65,0,5.11,44.31,26.38,14938.23,1521.61,-567.76,-2290.76,0,-3960,0.49,-26079.52,-3960,0.49,543323.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88637.28,119079.88,15504.37,0,0,15504.37,23400,0,0,0,15504.37,211563.11,315523.38,288098.66,338923.38,"example"
2043,2.5,0.29,104516.56,0,-7630,-50400,-58030,0,104516.56,0,4.98,44.31,26.38,16123.24,1559.65,-661.21,-2951.97,0,-3960,0.49,-26207.31,-3960,0.49,545985.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88858.52,120639.8,15658.04,0,0,15658.04,23400,0,0,0,15658.04,227221.15,347304.66,315626.63,370704.66,"example"
2044,2.5,0.23,104819.66,0,-9755,-50400,-60155,0,104819.66,0,4.85,44.31,26.38,17295.77,1598.64,-758.97,-3710.94,0,-3960,0.49,-26335.73,-3960,0.49,548660.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-91209.7,122115.43,13609.96,0,0,13609.96,23400,0,0,0,13609.96,240831.11,378210.39,341969.74,401610.39,"example"
2045,2.5,0.16,105060.75,0,-9755,-50400,-60155,0,105060.75,50000,4.72,44.31,26.38,18343.2,1638.61,-853.5,-4564.44,0,-3960,0.49,-26464.77,-3960,0.49,551349.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-91433.27,173403.95,63627.48,0,0,63627.48,23400,0,0,0,63627.48,304458.59,460181.07,419101.48,483581.07,"example"
2046,2.5,0.1,105228.85,0,-11880,-50400,-62280,0,105228.85,0,4.59,44.31,26.38,21720.55,1679.58,-1121.35,-5685.79,0,-3960,0.49,-26594.45,-3960,0.49,554051.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-93955.8,126949.4,11273.05,0,0,11273.05,23400,0,0,0,11273.05,315731.64,493174.67,446365.2,516574.67,"example"
2047,2.5,0.03,105334.08,0,-11880,-50400,-62280,0,105334.08,0,4.46,44.31,26.38,22636.72,1721.57,-1222.44,-6908.23,0,-3960,0.49,-26724.76,-3960,0.49,556765.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-94187.2,127970.8,11146.88,0,0,11146.88,23400,0,0,0,11146.88,326878.52,526958.27,474177.23,550358.27,"example"
2048,2.5,-0.03,105365.68,0,-11880,-50400,-62280,0,105365.68,0,4.33,44.31,26.38,23502.34,1764.61,-1325.94,-8234.17,0,-3960,0.49,-26855.71,-3960,0.49,559494.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-94421.65,128868.02,10944.03,0,0,10944.03,23400,0,0,0,10944.03,337822.55,561404.64,502423.68,584804.64,"example"
2049,2.5,-0.1,105334.07,0,-11880,-50400,-62280,0,105334.07,0,4.2,44.31,26.38,24308.82,1808.73,-1431.4,-9665.57,0,-3960,0.49,-26987.31,-3960,0.49,562235.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-94658.71,129642.89,10675.36,0,0,10675.36,23400,0,0,0,10675.36,348497.91,596388.82,530995.2,619788.82,"example"
2050,2.5,-0.16,105228.74,0,-11880,-50400,-62280,0,105228.74,0,4.07,44.31,26.38,25048.33,1853.95,-1538.41,-11203.98,0,-3960,0.49,-27119.54,-3960,0.49,564990.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-94897.95,130277.07,10330.79,0,0,10330.79,23400,0,0,0,10330.79,358828.7,631767.94,559766.57,655167.94,"example"
2051,2.5,-0.23,105060.37,0,-5940,-50400,-56340,0,105060.37,0,3.94,44.31,26.38,25712.96,1900.3,-1646.45,-12850.43,0,-3960,0.49,-27252.43,-3960,0.49,567758.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89198.88,130773.33,15861.49,0,0,15861.49,23400,0,0,0,15861.49,374690.19,673342.39,594557.94,696742.39,"example"
2052,2.5,-0.29,104818.73,0,-5940,-50400,-56340,0,104818.73,0,3.81,44.31,26.38,26529.69,1947.81,-1775.26,-14625.69,0,-3960,0.49,-27385.97,-3960,0.49,570540.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89461.23,131348.42,15357.5,0,0,15357.5,23400,0,0,0,15357.5,390047.69,715229.58,629446.6,738629.58,"example"
2053,2.5,-0.36,104514.76,0,0,-50400,-50400,0,104514.76,0,3.68,44.31,26.38,27250.25,1996.51,-1904.81,-16530.5,0,-3960,0.49,-27520.16,-3960,0.49,573336.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83784.97,131765.01,20729.79,0,0,20729.79,23400,0,0,0,20729.79,410777.48,763209.62,670238.02,786609.62,"example"
2054,2.5,-0.42,104138.51,0,0,-50400,-50400,0,104138.51,0,3.55,44.31,26.38,28086.11,2046.42,-2054.75,-18585.25,0,-3960,0.49,-27655.01,-3960,0.49,576145.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84069.76,132224.62,20068.75,0,0,20068.75,23400,0,0,0,20068.75,430846.23,811364.48,710983.77,834764.48,"example"
2055,2.5,-65,103701.13,0,0,-50400,-50400,0,103701.13,-25000,3.41,44.31,26.38,28803.44,2097.58,-2204.97,37356.38,0,-3960,0.49,0,0,0.49,578969.09,645955.81,0,645955.81,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0.3,-1736.91,0.5,-2894.85,-900,-1500,-480,-480,-360,-3720,11.17,-64670.85,26.38,514298.24,0,0,-1736.91,-2894.85,-3720,0,0,0,0,0,-60956.73,107504.57,17744.4,0,0,17744.4,23400,-645955.81,-380518.25,-365818.27,17744.4,82772.36,111575.8,103977.45,713944.89,"example"
2056,2.5,-2.44,36295.4,0,0,-50400,-50400,0,36295.4,0,3.41,44.31,26.38,3804.73,2150.02,0,37356.38,0,-3960,0.49,0,0,0.49,581806.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0.3,-1745.42,0.5,-2909.03,-900,-1500,-480,-480,-360,-3720,11.17,-64987.73,26.38,516069.92,0,0,-1745.42,-2909.03,-3720,0,0,0,0,0,-58774.45,40100.13,-22479.05,-22479.05,0,0,920.95,0,0,0,0,82772.36,115380.53,106778.49,698107.52,"example"
2057,2.5,-2.44,35409.79,0,0,-50400,-50400,0,35409.79,0,3.41,44.31,26.38,3934.48,2203.77,0,37356.38,0,-3960,0.49,0,0,0.49,584656.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0.3,-1753.97,0.5,-2923.28,-900,-1500,-480,-480,-360,-3720,11.17,-65306.17,26.38,517850.28,0,0,-1753.97,-2923.28,-3720,0,0,0,0,0,-58797.25,39344.27,-23387.46,-23387.46,0,0,0,-23387.46,0,0,0,82772.36,119315.01,109675.06,703971.9,"example"
2058,2.5,-2.44,34545.79,0,0,-50400,-50400,0,34545.79,0,3.41,44.31,26.38,4068.64,2258.86,0,37356.38,0,-3960,0.49,0,0,0.49,587521.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0.3,-1762.57,0.5,-2937.61,-900,-1500,-480,-480,-360,-3720,11.17,-65626.18,26.38,519639.35,0,0,-1762.57,-2937.61,-3720,0,0,0,0,0,-58820.18,38614.43,-24274.39,-24274.39,0,0,0,-24274.39,0,0,0,82772.36,123383.65,112670.39,710905.36,"example"
2059,2.5,-2.44,33702.87,0,0,-50400,-50400,0,33702.87,0,3.41,44.31,26.38,4207.38,2315.33,0,37356.38,0,-3960,0.49,0,0,0.49,590400.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0.3,-1771.2,0.5,-2952,-900,-1500,-480,-480,-360,-3720,11.17,-65947.74,26.38,521437.21,0,0,-1771.2,-2952,-3720,0,0,0,0,0,-58843.2,37910.25,-25140.33,-25140.33,0,0,0,-25140.33,0,0,0,82772.36,127591.03,115767.86,717991.6,"example"
2060,2.5,-2.44,32880.52,0,0,-50400,-50400,0,32880.52,0,3.41,44.31,26.38,4350.85,2373.21,0,37356.38,0,-3960,0.49,0,0,0.49,593293.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0.3,-1779.88,0.5,-2966.47,-900,-1500,-480,-480,-360,-3720,11.17,-66270.89,26.38,523243.85,0,0,-1779.88,-2966.47,-3720,0,0,0,0,0,-58866.35,37231.37,-25985.83,-25985.83,0,0,0,-25985.83,0,0,0,82772.36,131941.88,118970.96,725235.41,"example"
2061,2.5,-2.44,32078.24,0,0,-50400,-50400,0,32078.24,0,3.41,44.31,26.38,4499.22,2432.54,0,37356.38,0,-3960,0.49,0,0,0.49,596200.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0.3,-1788.6,0.5,-2981,-900,-1500,-480,-480,-360,-3720,11.17,-66595.61,26.38,525059.37,0,0,-1788.6,-2981,-3720,0,0,0,0,0,-58889.6,36577.46,-26811.36,-26811.36,0,0,0,-26811.36,0,0,0,82772.36,136441.1,122283.29,732641.77,"example"
2062,2.5,-2.44,31295.53,0,0,-50400,-50400,0,31295.53,0,3.41,44.31,26.38,4652.64,2493.35,0,37356.38,0,-3960,0.49,0,0,0.49,599122.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0.3,-1797.37,0.5,-2995.61,-900,-1500,-480,-480,-360,-3720,11.17,-66921.93,26.38,526883.77,0,0,-1797.37,-2995.61,-3720,0,0,0,0,0,-58912.98,35948.17,-27617.45,-27617.45,0,0,0,-27617.45,0,0,0,82772.36,141093.74,125708.56,740215.79,"example"
2063,2.5,-2.44,30531.92,0,0,-50400,-50400,0,30531.92,0,3.41,44.31,26.38,4811.3,2555.68,0,37356.38,0,-3960,0.49,0,0,0.49,602057.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0.3,-1806.17,0.5,-3010.29,-900,-1500,-480,-480,-360,-3720,11.17,-67249.85,26.38,528717.11,0,0,-1806.17,-3010.29,-3720,0,0,0,0,0,-58936.46,35343.22,-28404.54,-28404.54,0,0,0,-28404.54,0,0,0,82772.36,145905.04,129250.64,747962.79,"example"
2064,2.5,-2.44,29786.94,0,0,-50400,-50400,0,29786.94,0,3.41,44.31,26.38,4975.36,2619.57,0,37356.38,0,-3960,0.49,0,0,0.49,605007.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0.3,-1815.02,0.5,-3025.04,-900,-1500,-480,-480,-360,-3720,11.17,-67579.37,26.38,530559.44,0,0,-1815.02,-3025.04,-3720,0,0,0,0,0,-58960.06,34762.3,-29173.12,-29173.12,0,0,0,-29173.12,0,0,0,82772.36,150880.4,132913.5,755888.23,"example"
2065,2.5,-2.44,29060.14,0,0,-50400,-50400,0,29060.14,0,3.41,44.31,26.38,5145.02,2685.06,0,37356.38,0,-3960,0.49,0,0,0.49,607972.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-1823.92,0.5,-3039.86,-900,-1500,-480,-480,-360,-3720,11.17,-67910.51,26.38,532410.79,0,0,-1823.92,-3039.86,-3720,0,0,0,0,0,-58983.78,34205.16,-29923.64,-29923.64,0,0,0,-29923.64,0,0,0,82772.36,156025.42,136701.26,763997.79,"example"
2066,2.5,-2.44,28351.07,0,0,-50400,-50400,0,28351.07,0,3.41,44.31,26.38,5320.47,2752.19,0,37356.38,0,-3960,0.49,0,0,0.49,610951.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-1832.85,0.5,-3054.76,-900,-1500,-480,-480,-360,-3720,11.17,-68243.27,0,542708.16,0,0,-1832.85,-3054.76,-3720,0,0,0,0,0,-59007.61,33671.54,-30656.54,-30656.54,0,0,0,-30656.54,0,0,0,82772.36,161345.89,140618.19,772297.32,"example"
2067,2.5,-2.44,27659.3,0,0,-50400,-50400,0,27659.3,0,3.41,44.31,26.38,5501.89,2820.99,0,37356.38,0,-3960,0.49,0,0,0.49,613945.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-1841.84,0.5,-3069.73,-900,-1500,-480,-480,-360,-3720,11.17,-68577.67,0,545367.42,0,0,-1841.84,-3069.73,-3720,0,0,0,0,0,-59031.57,33161.19,-31372.27,-31372.27,0,0,0,-31372.27,0,0,0,82772.36,166847.78,144668.68,780792.87,"example"
2068,2.5,-2.44,26984.41,0,0,-50400,-50400,0,26984.41,0,3.41,44.31,26.38,5689.51,2891.51,0,37356.38,0,-3960,0.49,0,0,0.49,616953.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-1850.86,0.5,-3084.77,-900,-1500,-480,-480,-360,-3720,11.17,-68913.7,0,548039.72,0,0,-1850.86,-3084.77,-3720,0,0,0,0,0,-59055.63,32673.92,-32071.22,-32071.22,0,0,0,-32071.22,0,0,0,82772.36,172537.29,148857.3,789490.71,"example"
2069,2.5,-2.44,26325.99,0,0,-50400,-50400,0,26325.99,0,3.41,44.31,26.38,5883.52,2963.8,0,37356.38,0,-3960,0.49,0,0,0.49,619976.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-1859.93,0.5,-3099.88,-900,-1500,-480,-480,-360,-3720,11.17,-69251.37,0,550725.12,0,0,-1859.93,-3099.88,-3720,0,0,0,0,0,-59079.81,32209.51,-32753.82,-32753.82,0,0,0,-32753.82,0,0,0,82772.36,178420.81,153188.75,798397.3,"example"
