"Year","inflation","salaries_growth_inflation_corrected","salary","living_costs_change_elternzeit","living_costs_family","living_standard_costs","living_costs","expected_money_for_investment_savings","net_annual_salary","lump_sums","expected_yearly_return_on_passive_investment_inflation_corrected","total_taxes_on_income","capital_gains_tax_rate","passive_investment_return_from_previous_year","housing_cost_growth_inflation_corrected","housing_cost","rental_cost_growth_inflation_corrected","rental_cost","rental_housing_cost","property1_value_growth_inflation_corrected","property1_market_evaluation","property1_purchase_real_cost","property1_available_for_down_payment","property1_used_from_savings","property1_mortgage_principal","property1_principal_repayment_rate","property1_mortgage_interest_rate","property1_mortgage_principal_share","property1_mortgage_interest_share","property1_mortgage_payment","property1_mortgage_length_years","property1_mortgage_principal_left","property1_mortgage_interest_left","property1_loan_family_friends_interest_rate","property1_loan_family_friends_principal_share","property1_loan_family_friends_interest_share","property1_loan_family_friends_payment","property1_loan_family_friends_principal_left","property1_loan_family_friends_interest_left","property1_property_taxes_rate","property1_property_taxes","property1_maintenance_cost_rate","property1_maintenance_cost","property1_hausgeld_maintenance_costs","property1_hausgeld_utilities","property1_hausgeld_reserve_fund","property1_hausgeld_house_management_fee","property1_hausgeld_building_insurance","property1_hausgeld_fees_total","property1_lease_rental_growth","property1_cold_rent_from_lease","property1_warm_lease_income","property1_yearly_depreciation_rate","property1_yearly_depreciation","property1_property_management_fee","property1_total_deducible_expenses","property1_income_taxes_adjustment","property1_vacancy_months_cost","property1_sale_rate_total","property1_sale_costs","property1_sale_capital_gain_tax","property1_value_liquid","properties_principal_share","properties_interest_share","properties_property_taxes","properties_maintenance_cost","properties_hausgeld_fees_total","properties_property_management_fee","properties_vacancy_months_cost","properties_warm_lease_income","properties_income_taxes_adjustment","total_expenses","total_income","cash_flow","savings_emergency_reserve","passive_investment_money_needed_from_liquid","passive_investment_money_taken_out_from_capital_gains","passive_investment_money_taken_out_from_contributions","passive_investment_yearly_contribution","passive_investment_contributions_accumulated","passive_investment_total_invested","passive_investment_total_invested_liquid","total_asset","scenario"
2036,2,1.21,114942.46,0,-7075,-48000,-55075,0,114942.46,0,6.19,44.31,26.38,37679.2,0,-3960,1.96,-26741.26,-3960,1.96,557109.54,0,0,0,0,2,3.7,-14181.27,-12920.24,-27101.51,0,-335014.44,-121103.97,0,0,0,0,0,0,0.3,-1671.33,1.5,-8356.64,-720,-1260,-360,-360,-420,-3120,1.96,17084.7,21876.03,2,-9000,-1281.35,-23429.32,8536.26,-1823,11.17,-62229.14,0,38761.99,-14181.27,-12920.24,-1671.33,-8356.64,-3120,-1281.35,-1823,21876.03,8536.26,-129130.09,213446.24,84316.15,23400,0,0,0,84316.15,678625.28,678625.28,678625.28,803016.41,"example"
2037,2,1.09,116333.26,0,-7075,-48000,-55075,0,116333.26,0,6.04,44.31,26.38,42006.9,0,-3960,1.96,-27265.39,-3960,1.96,568028.89,0,0,0,0,2,3.7,-14705.98,-12395.53,-27101.51,0,-320308.46,-108708.44,0,0,0,0,0,0,0.3,-1704.09,1.5,-8520.43,-720,-1260,-360,-360,-420,-3120,1.96,17419.56,22243.65,2,-9000,-1306.47,-23650.99,8253.61,-1853.64,11.17,-63448.83,0,75563.16,-14705.98,-12395.53,-1704.09,-8520.43,-3120,-1306.47,-1853.64,22243.65,8253.61,-129906.53,219334.68,89428.15,23400,0,0,0,89428.15,768053.43,768053.43,768053.43,930465.42,"example"
2038,2,0.98,117601.29,0,-8950,-48000,-56950,0,117601.29,0,5.89,44.31,26.38,46390.43,0,-3960,1.96,-27799.79,-3960,1.96,579162.26,0,0,0,0,2,3.7,-15250.1,-11851.41,-27101.51,0,-305058.36,-96857.03,0,0,0,0,0,0,0.3,-1737.49,1.5,-8687.43,-720,-1260,-360,-360,-420,-3120,1.96,17760.98,22618.47,2,-9000,-1332.07,-23876.99,7961.36,-1884.87,11.17,-64692.42,0,112554.45,-15250.1,-11851.41,-1737.49,-8687.43,-3120,-1332.07,-1884.87,22618.47,7961.36,-132573.16,225151.38,92578.22,23400,0,0,0,92578.22,860631.65,860631.65,860631.65,1061278.52,"example"
2039,2,0.87,118753.78,0,-8950,-48000,-56950,0,118753.78,0,5.74,44.31,26.38,50691.2,0,-3960,1.96,-28344.66,-3960,1.96,590513.84,0,0,0,0,2,3.7,-15814.35,-11287.16,-27101.51,0,-289244.01,-85569.87,0,0,0,0,0,0,0.3,-1771.54,1.5,-8857.71,-720,-1260,-360,-360,-420,-3120,1.96,18109.1,23000.64,2,-9000,-1358.18,-24107.43,7659.2,-1916.72,11.17,-65960.4,0,149739.56,-15814.35,-11287.16,-1771.54,-8857.71,-3120,-1358.18,-1916.72,23000.64,7659.2,-133380.32,230764.66,97384.34,23400,0,0,0,97384.34,958015.99,958015.99,958015.99,1197115.95,"example"
2040,2,0.75,119786.94,0,-8950,-48000,-56950,0,119786.94,0,5.59,44.31,26.38,54990.12,0,-3960,1.96,-28900.22,-3960,1.96,602087.91,0,0,0,0,2,3.7,-16399.48,-10702.03,-27101.51,0,-272844.53,-74867.84,0,0,0,0,0,0,0.3,-1806.26,1.5,-9031.32,-720,-1260,-360,-360,-420,-3120,1.96,18464.04,23390.3,2,-9000,-1384.8,-24342.38,7346.76,-1949.19,11.17,-67253.22,0,187122.32,-16399.48,-10702.03,-1806.26,-9031.32,-3120,-1384.8,-1949.19,23390.3,7346.76,-134203.3,236251.18,102047.88,23400,0,0,0,102047.88,1060063.87,1060063.87,1060063.87,1337839.41,"example"
2041,2,0.64,120685.34,0,-8950,-48000,-56950,0,120685.34,0,5.44,44.31,26.38,59257.57,0,-3960,1.96,-29466.66,-3960,1.96,613888.83,0,0,0,0,2,3.7,-17006.26,-10095.25,-27101.51,0,-255838.27,-64772.59,0,0,0,0,0,0,0.3,-1841.67,1.5,-9208.33,-720,-1260,-360,-360,-420,-3120,1.96,18825.94,23787.61,2,-9000,-1411.95,-24581.95,7023.69,-1982.3,11.17,-68571.38,0,224706.59,-17006.26,-10095.25,-1841.67,-9208.33,-3120,-1411.95,-1982.3,23787.61,7023.69,-135042.42,241565.51,106523.09,23400,0,0,0,106523.09,1166586.96,1166586.96,1166586.96,1483264.93,"example"
2042,2,0.53,121457.73,0,-8950,-48000,-56950,0,121457.73,0,5.29,44.31,26.38,63462.33,0,-3960,1.96,-30044.21,-3960,1.96,625921.05,0,0,0,0,2,3.7,-17635.49,-9466.02,-27101.51,0,-238202.78,-55306.57,0,0,0,0,0,0,0.3,-1877.76,1.5,-9388.82,-720,-1260,-360,-360,-420,-3120,1.96,19194.93,24192.69,2,-9000,-1439.62,-24826.2,6689.61,-2016.06,11.17,-69915.38,0,262496.32,-17635.49,-9466.02,-1877.76,-9388.82,-3120,-1439.62,-2016.06,24192.69,6689.61,-135897.98,246684.66,110786.68,23400,0,0,0,110786.68,1277373.64,1277373.64,1277373.64,1633185.34,"example"
2043,2,0.41,122101.46,0,-8950,-48000,-56950,0,122101.46,0,5.14,44.31,26.38,67573.07,0,-3960,1.96,-30633.08,-3960,1.96,638189.1,0,0,0,0,2,3.7,-18288.01,-8813.5,-27101.51,0,-219914.77,-46493.07,0,0,0,0,0,0,0.3,-1914.57,1.5,-9572.84,-720,-1260,-360,-360,-420,-3120,1.96,19571.15,24605.72,2,-9000,-1467.84,-25075.25,6344.13,-2050.48,11.17,-71285.72,0,300495.54,-18288.01,-8813.5,-1914.57,-9572.84,-3120,-1467.84,-2050.48,24605.72,6344.13,-136770.32,251574.23,114803.91,23400,0,0,0,114803.91,1392177.55,1392177.55,1392177.55,1787358.81,"example"
2044,2,0.3,122602.08,0,-11075,-48000,-59075,0,122602.08,0,4.99,44.31,26.38,71557.93,0,-3960,1.96,-31233.49,-3960,1.96,650697.61,0,0,0,0,2,3.7,-18964.66,-8136.85,-27101.51,0,-200950.11,-38356.22,0,0,0,0,0,0,0.3,-1952.09,1.5,-9760.46,-720,-1260,-360,-360,-420,-3120,1.96,19954.74,25026.83,2,-9000,-1496.61,-25329.16,5986.84,-2085.57,11.17,-72682.92,0,338708.36,-18964.66,-8136.85,-1952.09,-9760.46,-3120,-1496.61,-2085.57,25026.83,5986.84,-139784.73,256187.35,116402.62,23400,0,0,0,116402.62,1508580.17,1508580.17,1508580.17,1943371.45,"example"
2045,2,0.19,122969.89,0,-11075,-48000,-59075,0,122969.89,50000,4.84,44.31,26.38,75278.15,0,-3960,1.96,-31845.66,-3960,1.96,663451.28,0,0,0,0,2,3.7,-19666.36,-7435.15,-27101.51,0,-181283.75,-30921.07,0,0,0,0,0,0,0.3,-1990.35,1.5,-9951.77,-720,-1260,-360,-360,-420,-3120,1.96,20345.85,25456.2,2,-9000,-1525.94,-25588.06,5617.34,-2121.35,11.17,-74107.51,0,377138.95,-19666.36,-7435.15,-1990.35,-9951.77,-3120,-1525.94,-2121.35,25456.2,5617.34,-140691.58,310395.12,169703.54,23400,0,0,0,169703.54,1678283.71,1678283.71,1678283.71,2152930.17,"example"
2046,2,0.08,123203.53,0,-13200,-48000,-61200,0,123203.53,0,4.69,44.31,26.38,81228.93,0,-3960,1.96,-32469.84,-3960,1.96,676454.93,0,0,0,0,2,3.7,-20394.01,-6707.5,-27101.51,0,-160889.74,-24213.57,0,0,0,0,0,0,0.3,-2029.36,1.5,-10146.82,-720,-1260,-360,-360,-420,-3120,1.96,20744.63,25893.99,2,-9000,-1555.85,-25852.03,5235.18,-2157.83,11.17,-75560.02,0,415791.6,-20394.01,-6707.5,-2029.36,-10146.82,-3120,-1555.85,-2157.83,25893.99,5235.18,-143741.21,266690.8,122949.59,23400,0,0,0,122949.59,1801233.3,1801233.3,1801233.3,2315984.92,"example"
2047,2,-0.04,123302.09,0,-13200,-48000,-61200,0,123302.09,0,4.54,44.31,26.38,84477.84,0,-3960,1.96,-33106.25,-3960,1.96,689713.45,0,0,0,0,2,3.7,-21148.59,-5952.92,-27101.51,0,-139741.15,-18260.65,0,0,0,0,0,0,0.3,-2069.14,1.5,-10345.7,-720,-1260,-360,-360,-420,-3120,1.96,21151.22,26340.36,2,-9000,-1586.34,-26121.18,4839.93,-2195.03,11.17,-77040.99,0,454670.66,-21148.59,-5952.92,-2069.14,-10345.7,-3120,-1586.34,-2195.03,26340.36,4839.93,-144683.97,270140.51,125456.54,23400,0,0,0,125456.54,1926689.84,1926689.84,1926689.84,2481801.49,"example"
2048,2,-0.15,123252.77,0,-13200,-48000,-61200,0,123252.77,0,4.39,44.31,26.38,87471.72,0,-3960,1.96,-33755.13,-3960,1.96,703231.83,0,0,0,0,2,3.7,-21931.09,-5170.42,-27101.51,0,-117810.06,-13090.23,0,0,0,0,0,0,0.3,-2109.7,1.5,-10548.48,-720,-1260,-360,-360,-420,-3120,1.96,21565.78,26795.48,2,-9000,-1617.43,-26395.61,4431.11,-2232.96,11.17,-78551,0,493780.54,-21931.09,-5170.42,-2109.7,-10548.48,-3120,-1617.43,-2232.96,26795.48,4431.11,-145645.21,273177.67,127532.46,23400,0,0,0,127532.46,2054222.3,2054222.3,2054222.3,2649953.84,"example"
2049,2,-0.26,123067.89,0,-13200,-48000,-61200,0,123067.89,0,4.24,44.31,26.38,90180.36,0,-3960,1.96,-34416.73,-3960,1.96,717015.17,0,0,0,0,2,3.7,-22742.54,-4358.97,-27101.51,0,-95067.52,-8731.26,0,0,0,0,0,0,0.3,-2151.05,1.5,-10755.23,-720,-1260,-360,-360,-420,-3120,1.96,21988.47,27259.52,2,-9000,-1649.14,-26675.42,4008.25,-2271.63,11.17,-80090.59,0,533125.8,-22742.54,-4358.97,-2151.05,-10755.23,-3120,-1649.14,-2271.63,27259.52,4008.25,-146625.29,275783.79,129158.5,23400,0,0,0,129158.5,2183380.8,2183380.8,2183380.8,2819997.19,"example"
2050,2,-0.38,122747.91,0,-13200,-48000,-61200,0,122747.91,0,4.09,44.31,26.38,92575.35,0,-3960,1.96,-35091.3,-3960,1.96,731068.67,0,0,0,0,2,3.7,-23584.01,-3517.5,-27101.51,0,-71483.51,-5213.76,0,0,0,0,0,0,0.3,-2193.21,1.5,-10966.03,-720,-1260,-360,-360,-420,-3120,1.96,22419.44,27732.65,2,-9000,-1681.46,-26960.7,3570.84,-2311.05,11.17,-81660.37,0,572711.03,-23584.01,-3517.5,-2193.21,-10966.03,-3120,-1681.46,-2311.05,27732.65,3570.84,-147624.56,277930.24,130305.68,23400,0,0,0,130305.68,2313686.48,2313686.48,2313686.48,2991457.88,"example"
2051,2,-0.49,122281.47,0,-6600,-48000,-54600,0,122281.47,0,3.94,44.31,26.38,94629.78,0,-3960,1.96,-35779.09,-3960,1.96,745397.62,0,0,0,0,2,3.7,-24456.62,-2644.89,-27101.51,0,-47026.89,-2568.87,0,0,0,0,0,0,0.3,-2236.19,1.5,-11180.96,-720,-1260,-360,-360,-420,-3120,1.96,22858.86,28215.05,2,-9000,-1714.41,-27251.56,3118.36,-2351.25,11.17,-83260.91,0,612540.95,-24456.62,-2644.89,-2236.19,-11180.96,-3120,-1714.41,-2351.25,28215.05,3118.36,-142043.41,279578.07,137534.66,23400,0,0,0,137534.66,2451221.14,2451221.14,2451221.14,3170423,"example"
2052,2,-0.6,121682.29,0,-6600,-48000,-54600,0,121682.29,0,3.79,44.31,26.38,96578.11,0,-3960,1.96,-36480.36,-3960,1.96,760007.41,0,0,0,0,2,3.7,-25361.52,-1739.99,-27101.51,0,-21665.37,-828.88,0,0,0,0,0,0,0.3,-2280.02,1.5,-11400.11,-720,-1260,-360,-360,-420,-3120,1.96,23306.89,28706.91,2,-9000,-1748.02,-27548.15,2650.29,-2392.24,11.17,-84892.83,0,652620.33,-25361.52,-1739.99,-2280.02,-11400.11,-3120,-1748.02,-2392.24,28706.91,2650.29,-143082.26,280974.8,137892.54,23400,0,0,0,137892.54,2589113.68,2589113.68,2589113.68,3350026.84,"example"
2053,2,-0.72,120952.2,0,0,-48000,-48000,0,120952.2,0,3.64,44.31,26.38,98127.41,0,-3960,1.96,-37195.37,-3960,1.96,774903.56,0,0,0,0,2,3.7,-21665.37,-801.62,-22466.99,0,0,-27.26,0,0,0,0,0,0,0.3,-2324.71,1.5,-11623.55,-720,-1260,-360,-360,-420,-3120,1.96,23763.71,29208.42,2,-9000,-1782.28,-27850.54,2166.07,-2434.03,11.17,-86556.73,0,688319.57,-21665.37,-801.62,-2324.71,-11623.55,-3120,-1782.28,-2434.03,29208.42,2166.07,-132906.93,281828.59,148921.66,23400,0,0,0,148921.66,2738035.34,2738035.34,2738035.34,3536311.64,"example"
2054,2,-0.83,120081.34,0,0,-48000,-48000,0,120081.34,0,3.49,44.31,26.38,99664.49,0,-3960,1.96,-37924.4,-3960,1.96,790091.67,0,0,0,0,0,0,0,0,0,0,0,-27.26,0,0,0,0,0,0,0.3,-2370.28,1.5,-11851.38,-720,-1260,-360,-360,-420,-3120,1.96,24229.48,29719.76,2,-9000,-1817.21,-28158.87,1741.11,-2476.65,11.17,-88253.24,0,701811.17,0,0,-2370.28,-11851.38,-3120,-1817.21,-2476.65,29719.76,1741.11,-111519.92,282667.57,171147.65,23400,0,0,0,171147.65,2909182.99,2909182.99,2909182.99,3722647.4,"example"
2055,2,-0.94,119084.66,0,0,-48000,-48000,0,119084.66,0,3.34,44.31,26.38,101530.49,0,-3960,1.96,-38667.72,-3960,1.96,805577.47,0,0,0,0,0,0,0,0,0,0,0,-27.26,0,0,0,0,0,0,0.3,-2416.73,1.5,-12083.66,-720,-1260,-360,-360,-420,-3120,1.96,24704.38,30241.11,2,-9000,-1852.83,-28473.22,1669.97,-2520.09,11.17,-89983,0,715567.21,0,0,-2416.73,-12083.66,-3120,-1852.83,-2520.09,30241.11,1669.97,-112621.03,284437.31,171816.28,23400,0,0,0,171816.28,3080999.27,3080999.27,3080999.27,3909949.48,"example"
2056,2,-1.06,117965.26,0,0,-48000,-48000,0,117965.26,0,3.19,44.31,26.38,102905.38,0,-3960,1.96,-39425.61,-3960,1.96,821366.79,0,0,0,0,0,0,0,0,0,0,0,-27.26,0,0,0,0,0,0,0.3,-2464.1,1.5,-12320.5,-720,-1260,-360,-360,-420,-3120,1.96,25188.59,30772.69,2,-9000,-1889.14,-28793.74,1597.44,-2564.39,11.17,-91746.67,0,729592.86,0,0,-2464.1,-12320.5,-3120,-1889.14,-2564.39,30772.69,1597.44,-113743.74,285610.9,171867.16,23400,0,0,0,171867.16,3252866.43,3252866.43,3252866.43,4097605.96,"example"
2057,2,-1.17,116714.83,0,0,-48000,-48000,0,116714.83,0,3.04,44.31,26.38,103766.44,0,-3960,1.96,-40198.35,-3960,1.96,837465.58,0,0,0,0,0,0,0,0,0,0,0,-27.26,0,0,0,0,0,0,0.3,-2512.4,1.5,-12561.98,-720,-1260,-360,-360,-420,-3120,1.96,25682.29,31314.69,2,-9000,-1926.17,-29120.55,1523.49,-2609.56,11.17,-93544.91,0,743893.41,0,0,-2512.4,-12561.98,-3120,-1926.17,-2609.56,31314.69,1523.49,-114888.46,286157.63,171269.17,23400,0,0,0,171269.17,3424135.6,3424135.6,3424135.6,4284973.92,"example"
2058,2,-1.28,115349.27,0,0,-48000,-48000,0,115349.27,0,2.89,44.31,26.38,104093.72,0,-3960,1.96,-40986.24,-3960,1.96,853879.91,0,0,0,0,0,0,0,0,0,0,0,-27.26,0,0,0,0,0,0,0.3,-2561.64,1.5,-12808.2,-720,-1260,-360,-360,-420,-3120,1.96,26185.66,31867.3,2,-9000,-1963.92,-29453.76,1448.1,-2655.61,11.17,-95378.39,0,758474.26,0,0,-2561.64,-12808.2,-3120,-1963.92,-2655.61,31867.3,1448.1,-116055.61,286073.79,170018.18,23400,0,0,0,170018.18,3594153.78,3594153.78,3594153.78,4471406.43,"example"
